name,games,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,id
Seth Curry,550,13.4,0.605,0.513,0.141,1.5,8.4,5.0,12.6,1.4,0.5,10.5,17.9,16.2,8.7,24.9,0.097,0.1,-0.6,-0.5,4.8,466
Stephen Curry,1026,23.5,0.625,0.522,0.241,2.1,12.7,7.5,30.8,2.2,0.6,13.6,29.0,103.8,39.3,143.1,0.196,6.2,0.2,6.5,74.7,467
Quintin Dailey,528,15.1,0.508,0.021,0.313,3.8,8.2,6.0,15.8,1.9,0.2,12.2,27.9,5.3,7.3,12.7,0.05,-0.7,-1.2,-1.9,0.3,468
Samuel Dalembert,886,15.4,0.555,0.002,0.313,12.2,25.3,18.7,3.4,1.1,5.6,17.2,15.5,18.0,33.3,51.3,0.114,-1.8,0.7,-1.1,4.6,469
Erick Dampier,987,14.3,0.536,0.003,0.497,12.8,20.1,16.5,5.4,0.7,4.2,17.4,15.4,23.2,29.5,52.7,0.105,-1.5,0.1,-1.3,4.1,470
Louie Dampier,960,15.4,0.516,0.165,0.228,1.4,5.0,3.6,20.1,1.4,0.5,12.2,20.1,42.9,31.2,74.1,0.11,1.0,-0.2,0.7,9.0,471
Bob Dandridge,839,16.7,0.524,0.001,0.254,5.2,12.8,9.4,13.5,1.6,0.8,13.8,23.1,47.3,33.0,80.3,0.131,1.3,0.0,1.3,15.1,472
Antonio Daniels,872,14.6,0.546,0.226,0.425,1.3,8.2,4.8,23.8,1.5,0.3,13.3,16.3,36.1,10.9,47.0,0.115,0.5,-0.5,0.0,10.1,473
Lloyd Daniels,200,11.5,0.482,0.35,0.15,6.0,8.0,7.0,13.4,1.5,1.1,12.6,20.8,0.6,2.7,3.3,0.044,-0.6,-0.9,-1.5,0.4,474
Marquis Daniels,548,12.9,0.497,0.112,0.237,5.0,10.0,7.5,13.2,2.2,0.9,12.9,19.1,4.0,12.5,16.5,0.068,-1.5,0.5,-1.0,3.0,475
Mel Daniels,639,20.1,0.507,0.003,0.37,10.8,26.2,19.3,7.4,1.0,2.6,14.2,22.7,23.7,41.2,64.8,0.138,-1.6,0.1,-1.6,0.5,476
Troy Daniels,339,10.4,0.56,0.734,0.094,1.6,8.2,4.9,5.8,1.0,0.4,8.6,18.9,3.2,1.9,5.1,0.049,-0.4,-1.9,-2.3,-0.4,477
Adrian Dantley,955,21.5,0.617,0.003,0.552,7.1,10.1,8.6,13.0,1.3,0.2,12.5,26.1,111.4,22.8,134.2,0.189,4.1,-1.0,3.1,43.8,478
Brad Daugherty,548,18.9,0.59,0.002,0.511,7.0,22.3,14.8,15.5,1.1,1.2,14.6,22.2,38.1,27.1,65.2,0.156,1.9,0.3,2.2,21.3,479
Bob Davies,462,18.1,0.456,,0.436,,,,,,,,,35.4,14.3,49.7,0.148,,,,,480
Anthony Davis,787,26.8,0.592,0.093,0.408,8.6,25.5,17.1,12.7,1.9,5.6,8.9,28.4,73.3,45.5,118.8,0.21,4.4,1.5,5.9,54.2,481
Antonio Davis,903,14.1,0.518,0.003,0.515,10.3,19.7,15.0,6.4,0.9,2.5,13.4,17.6,28.2,31.4,59.6,0.11,-1.0,-0.3,-1.3,4.4,482
Baron Davis,835,17.8,0.502,0.348,0.275,3.0,9.7,6.3,36.3,2.8,0.9,14.7,24.6,32.8,30.3,63.1,0.106,2.2,0.3,2.6,33.1,483
Brad Davis,961,14.7,0.587,0.145,0.344,1.5,7.2,4.4,28.4,1.6,0.4,17.0,15.1,42.2,11.4,53.6,0.115,0.5,-0.4,0.1,12.1,484
Charles Davis,415,11.6,0.48,0.052,0.161,8.5,13.9,11.2,9.1,1.2,0.9,12.7,21.6,-0.5,6.3,5.8,0.056,-2.3,-0.8,-3.1,-1.4,485
Dale Davis,1094,15.2,0.546,0.001,0.399,13.4,20.6,17.1,5.2,1.2,3.1,12.0,14.0,45.5,41.4,86.9,0.141,0.3,0.2,0.5,18.4,486
Dwight Davis,340,12.3,0.477,,0.347,6.8,18.5,12.6,9.1,1.1,1.4,,,2.4,9.0,11.4,0.068,-1.8,0.0,-1.7,0.4,487
Ed Davis,722,16.4,0.581,0.001,0.408,12.8,24.8,18.8,6.0,1.3,3.3,12.6,13.7,25.2,18.1,43.3,0.151,-0.6,0.4,-0.2,6.2,488
Emanual Davis,226,9.6,0.501,0.434,0.175,2.3,10.4,6.4,15.4,2.2,0.5,19.6,15.6,-0.2,2.7,2.5,0.031,-2.4,0.1,-2.3,-0.4,489
Glen Davis,514,12.4,0.494,0.015,0.345,8.2,15.9,12.1,6.9,1.7,1.3,11.3,20.1,3.0,15.5,18.6,0.082,-2.7,0.1,-2.6,-1.7,490
Hubert Davis,685,11.8,0.566,0.359,0.166,1.6,6.2,3.9,12.6,1.0,0.2,11.6,16.7,19.6,8.2,27.7,0.088,0.0,-0.8,-0.9,4.2,491
Jim Davis,597,14.2,0.51,,0.433,10.5,19.8,14.4,9.7,2.0,1.7,,,10.2,9.0,19.2,0.092,-1.1,1.2,0.1,1.1,492
Johnny Davis,750,14.3,0.512,0.023,0.336,2.8,4.8,3.8,22.6,1.5,0.3,13.6,21.0,25.1,13.4,38.5,0.087,0.3,-1.1,-0.8,6.4,493
Josh Davis,67,11.0,0.479,0.467,0.193,11.1,15.2,13.1,6.0,1.8,0.8,11.4,16.4,0.3,0.6,0.8,0.082,-1.6,-0.4,-2.0,0.0,494
Lee Davis,453,14.8,0.504,0.012,0.255,9.4,17.6,13.4,8.0,0.9,1.2,10.8,19.3,6.5,6.2,12.7,0.078,-0.1,-0.7,-0.8,0.9,495
Mark Davis,230,11.9,0.499,0.106,0.409,8.7,12.6,10.6,12.9,2.8,1.5,20.4,18.7,-0.9,3.2,2.3,0.03,-2.6,0.2,-2.4,-0.4,496
Mickey Davis,309,13.9,0.513,0.002,0.301,7.7,14.6,11.1,10.5,1.3,0.3,19.1,25.7,4.5,4.3,8.8,0.11,0.3,-0.4,-0.1,1.3,497
Ricky Davis,736,14.7,0.525,0.192,0.279,3.0,10.5,6.8,19.7,1.7,0.6,14.5,23.0,14.2,13.8,28.0,0.061,0.1,-0.9,-0.8,6.3,498
Ron Davis,78,10.7,0.461,0.021,0.473,6.6,10.6,8.5,7.8,2.2,0.7,13.8,22.0,-0.5,0.7,0.1,0.007,-2.6,-1.0,-3.6,-0.5,499
Terence Davis,228,13.3,0.563,0.591,0.132,3.0,15.6,9.3,12.3,2.0,1.3,12.2,21.5,1.2,4.1,5.3,0.07,-0.6,-0.1,-0.8,1.1,500
Terry Davis,480,10.9,0.507,0.007,0.425,11.2,19.8,15.3,3.9,0.9,0.9,14.6,14.3,4.8,7.4,12.1,0.056,-2.4,-1.4,-3.9,-4.9,501
Walt Davis,325,9.6,0.421,,0.272,,,,,,,,,0.3,4.5,4.8,0.043,,,,,502
Walter Davis,1033,19.1,0.558,0.036,0.232,3.3,8.2,5.8,21.1,2.0,0.3,12.7,27.4,49.5,27.4,76.9,0.128,2.1,-0.6,1.5,25.3,503
Warren Davis,447,15.4,0.533,0.004,0.482,8.5,18.4,14.1,9.8,,,17.4,17.4,18.2,11.3,29.5,0.108,,,,,504
Darryl Dawkins,726,15.8,0.605,0.002,0.427,7.3,20.0,13.9,7.6,0.9,3.3,19.1,20.6,18.3,28.0,46.4,0.129,-1.2,1.0,-0.2,7.8,505
Johnny Dawkins,541,14.7,0.522,0.105,0.244,2.5,7.6,5.0,29.3,2.0,0.1,16.2,19.2,14.5,7.2,21.8,0.07,0.3,-1.2,-0.9,4.2,506
Tony Dawson,6,11.6,0.551,0.267,0.067,7.4,11.7,9.5,5.8,0.0,0.0,16.3,26.7,0.0,0.0,0.0,-0.009,-2.6,-3.3,-5.8,0.0,507
Todd Day,483,14.1,0.512,0.328,0.344,5.3,10.5,7.8,9.5,2.2,1.7,11.0,23.1,8.5,9.0,17.5,0.069,-0.2,-0.7,-0.9,3.4,508
Austin Daye,293,11.6,0.5,0.379,0.182,4.0,18.6,11.1,8.3,1.5,2.3,11.8,19.3,0.6,3.9,4.5,0.053,-1.9,-0.1,-2.0,0.0,509
Darren Daye,328,13.9,0.538,0.01,0.446,7.0,11.1,9.1,18.2,1.8,0.6,17.2,20.2,3.4,5.9,9.3,0.086,-0.6,0.3,-0.3,2.2,510
Dave DeBusschere,875,15.5,0.472,,0.282,5.2,24.2,14.3,11.0,1.2,0.8,,,13.1,47.7,60.8,0.093,0.9,0.7,1.7,2.5,511
Andrew DeClercq,587,12.1,0.538,0.001,0.422,11.7,17.6,14.6,5.5,2.1,2.3,17.4,14.3,8.4,10.9,19.4,0.094,-3.0,0.1,-2.9,-2.4,512
DeMar DeRozan,1187,18.9,0.556,0.106,0.403,2.3,12.0,7.2,19.6,1.4,0.8,9.5,27.2,78.8,29.7,108.5,0.126,1.6,-0.7,0.8,29.4,513
Dewayne Dedmon,515,15.1,0.593,0.228,0.276,9.8,27.4,18.6,6.1,1.4,4.0,15.3,15.9,9.7,13.5,23.3,0.125,-1.8,0.8,-1.1,2.1,514
Terry Dehere,402,12.7,0.53,0.329,0.362,2.2,7.3,4.7,22.7,1.5,0.4,16.8,22.1,4.9,2.3,7.3,0.048,-0.8,-1.7,-2.6,-1.1,515
Sam Dekker,201,12.7,0.537,0.327,0.18,6.7,14.7,10.7,7.4,1.6,1.0,8.8,15.4,3.0,2.3,5.4,0.083,-0.8,-0.6,-1.4,0.5,516
Vinny Del Negro,771,13.5,0.534,0.112,0.211,1.7,8.9,5.4,20.1,1.5,0.2,11.1,17.2,26.6,14.0,40.6,0.101,-0.7,0.0,-0.7,6.1,517
Bison Dele,413,16.5,0.562,0.004,0.347,10.0,20.1,15.0,7.7,1.7,2.5,16.9,21.8,9.0,13.8,22.8,0.109,-0.8,0.2,-0.6,3.4,518
Carlos Delfino,507,12.6,0.52,0.506,0.177,2.9,15.5,9.1,12.1,2.1,0.6,11.4,17.7,7.1,15.4,22.5,0.093,-0.5,0.9,0.5,7.2,519
Tony Delk,545,13.7,0.494,0.3,0.209,3.3,9.8,6.5,15.2,2.0,0.5,10.3,21.4,9.0,10.5,19.5,0.08,-0.2,-0.2,-0.4,4.8,520
Matthew Dellavedova,479,9.7,0.504,0.485,0.161,2.1,7.9,5.0,25.8,1.2,0.2,18.4,14.7,6.1,4.2,10.2,0.053,-2.0,-1.2,-3.3,-3.0,521
George Dempsey,315,12.4,0.459,,0.408,,,,,,,,,5.3,5.5,10.8,0.09,,,,,522
Luol Deng,902,15.4,0.528,0.176,0.282,5.4,14.6,10.1,11.2,1.5,1.1,10.3,20.6,34.8,39.2,74.0,0.115,0.7,0.2,0.9,22.9,523
Randy Denton,413,17.2,0.507,0.003,0.202,11.5,23.1,17.2,7.7,1.1,1.2,11.6,20.6,10.0,10.2,20.2,0.095,0.4,-0.8,-0.4,2.4,524
Ernie DiGregorio,312,12.2,0.457,,0.167,1.7,6.1,3.9,27.4,1.1,0.1,29.4,20.3,0.3,2.3,2.5,0.016,-1.6,-2.2,-3.8,-3.6,525
Donte DiVincenzo,416,13.6,0.569,0.651,0.135,3.9,13.8,9.0,15.5,2.2,1.0,13.2,18.1,9.6,14.3,23.9,0.108,0.1,1.0,1.1,8.3,526
Derrick Dial,82,12.2,0.418,0.152,0.209,7.6,14.3,10.9,15.4,1.6,1.1,10.4,22.5,-0.3,0.9,0.6,0.045,-2.0,-0.2,-2.2,0.0,527
Cheick Diallo,183,17.0,0.63,0.01,0.296,8.8,27.9,18.5,5.2,1.2,2.7,13.3,17.0,3.5,2.9,6.3,0.139,-1.2,-0.2,-1.4,0.3,528
Hamidou Diallo,265,13.6,0.54,0.151,0.333,5.8,16.7,11.1,9.3,2.2,1.4,11.8,20.7,0.7,5.5,6.2,0.06,-2.5,0.4,-2.1,-0.1,529
Boris Diaw,1064,12.9,0.547,0.183,0.191,5.2,13.3,9.3,19.7,1.2,1.3,18.5,16.3,23.3,28.3,51.6,0.086,-0.3,0.5,0.1,15.5,530
Dan Dickau,300,12.9,0.513,0.346,0.278,1.9,8.6,5.2,28.7,1.9,0.2,16.0,20.3,3.3,2.6,5.9,0.061,-0.8,-0.7,-1.5,0.6,531
Kaniel Dickens,19,9.0,0.506,0.45,0.2,7.0,10.0,8.4,3.7,1.3,1.9,12.1,13.6,0.0,0.1,0.1,0.055,-2.2,-0.8,-3.0,0.0,532
Michael Dickerson,212,13.4,0.522,0.254,0.24,2.8,6.7,4.8,13.1,1.5,0.8,11.5,21.6,7.6,2.0,9.6,0.061,0.0,-1.3,-1.3,1.3,533
Derrek Dickey,321,13.2,0.498,,0.188,10.3,18.4,14.4,8.4,1.1,0.6,15.8,20.4,5.5,5.6,11.1,0.1,-0.4,-0.9,-1.3,0.9,534
Travis Diener,179,12.5,0.523,0.605,0.145,1.6,8.6,5.1,24.2,1.4,0.3,10.8,15.2,3.9,1.8,5.6,0.102,0.1,-0.5,-0.4,1.1,535
Gorgui Dieng,628,16.2,0.572,0.158,0.333,9.2,22.4,15.7,9.8,1.8,3.6,14.6,16.2,17.0,13.7,30.7,0.117,-0.4,0.7,0.2,7.1,536
Connie Dierking,706,13.4,0.458,,0.284,,,14.2,10.2,,,,,2.2,11.1,13.3,0.041,,,,,537
Coby Dietrick,842,12.6,0.499,0.007,0.244,7.7,16.3,12.2,13.9,2.1,1.8,18.2,14.9,7.7,20.0,27.7,0.082,-0.9,1.4,0.5,9.2,538
Bill Dinwiddie,220,8.2,0.401,,0.248,,,12.3,6.0,,,,,-3.8,1.6,-2.2,-0.038,,,,,539
Spencer Dinwiddie,621,14.7,0.549,0.458,0.369,1.6,10.0,5.8,27.3,1.3,0.8,12.0,21.0,24.5,11.5,36.0,0.1,0.5,-0.6,-0.1,8.1,540
Ike Diogu,225,15.6,0.578,0.002,0.493,11.0,17.1,14.0,4.3,0.7,1.7,14.6,21.7,4.1,2.4,6.5,0.112,-1.7,-1.4,-3.0,-0.7,541
DeSagana Diop,601,9.8,0.441,0.005,0.324,11.8,19.2,15.5,4.8,1.4,5.7,20.9,9.3,-0.4,13.2,12.8,0.073,-3.6,1.7,-1.9,0.2,542
Terry Dischinger,652,16.3,0.559,,0.405,,,8.5,9.0,,,,,46.6,9.7,56.3,0.152,,,,,543
Vlade Divac,1134,17.7,0.543,0.041,0.397,9.7,21.0,15.4,16.0,1.9,3.2,16.7,19.2,43.5,52.9,96.4,0.137,0.5,1.7,2.3,36.3,544
Juan Dixon,436,12.8,0.499,0.286,0.194,2.1,9.3,5.6,16.0,2.1,0.3,13.0,22.9,1.6,4.5,6.1,0.034,-1.2,-0.9,-2.1,-0.3,545
Michael Doleac,587,10.8,0.472,0.003,0.173,7.6,17.8,12.7,6.4,1.2,1.8,11.0,17.6,2.5,10.2,12.7,0.07,-3.5,-0.2,-3.7,-3.7,546
James Donaldson,957,13.8,0.618,0.0,0.5,8.8,22.5,15.8,3.9,0.6,2.7,18.0,12.8,31.5,30.8,62.3,0.114,-0.4,0.2,-0.1,12.4,547
Luka Dončić,450,25.5,0.588,0.422,0.397,3.0,24.1,13.6,41.6,1.7,1.2,14.0,35.5,36.8,20.3,57.1,0.175,6.5,1.2,7.6,38.2,548
Keyon Dooling,728,11.5,0.516,0.293,0.288,1.1,6.8,4.0,18.8,1.7,0.4,14.1,18.7,8.7,9.8,18.5,0.063,-1.6,-0.4,-2.0,-0.2,549
Joey Dorsey,130,12.1,0.511,0.004,0.602,15.0,24.3,19.6,5.4,2.3,2.3,20.4,12.5,0.7,2.2,2.9,0.092,-3.1,0.4,-2.7,-0.3,550
Tyler Dorsey,107,10.7,0.503,0.512,0.19,2.9,13.3,8.1,12.4,0.9,0.4,8.3,19.9,0.3,0.8,1.1,0.031,-1.3,-1.7,-3.0,-0.5,551
Luguentz Dort,363,11.0,0.543,0.55,0.234,4.0,10.1,7.1,7.6,1.6,1.3,9.0,18.1,4.9,10.7,15.6,0.071,-1.8,-0.3,-2.1,-0.2,552
Damyean Dotson,213,10.3,0.521,0.507,0.131,1.4,12.2,6.7,11.2,1.2,0.4,9.0,17.0,1.1,1.9,3.0,0.034,-1.9,-0.9,-2.8,-0.9,553
Leon Douglas,456,11.9,0.528,0.001,0.484,10.9,20.2,15.5,6.1,0.9,1.7,19.2,15.8,5.3,9.9,15.2,0.072,-2.3,-0.6,-3.0,-2.4,554
Sherman Douglas,765,15.1,0.532,0.084,0.343,3.0,6.2,4.5,33.0,1.9,0.2,18.2,19.8,23.0,9.9,32.9,0.075,0.9,-1.1,-0.3,9.2,555
Toney Douglas,394,13.2,0.517,0.464,0.17,3.2,10.2,6.7,18.5,2.4,0.3,12.4,19.7,6.4,5.7,12.1,0.077,-0.8,0.0,-0.8,2.2,556
Chris Douglas-Roberts,222,11.5,0.528,0.195,0.312,2.1,10.5,6.2,9.8,1.5,1.0,11.8,17.8,1.7,3.6,5.4,0.059,-2.0,-0.2,-2.2,-0.2,557
Sonny Dove,222,14.0,0.494,0.012,0.33,11.1,0.0,12.9,6.4,,,15.7,22.4,3.3,3.9,7.2,0.07,,,,,558
PJ Dozier,130,10.3,0.485,0.407,0.173,3.8,15.0,9.4,13.7,1.6,1.7,11.4,17.7,-0.2,2.0,1.8,0.043,-2.7,-0.2,-2.9,-0.5,559
Goran Dragić,946,16.5,0.556,0.317,0.287,2.9,9.5,6.2,27.7,1.7,0.5,15.4,23.2,36.5,20.2,56.7,0.106,1.1,-0.6,0.5,15.9,560
Greg Dreiling,474,7.4,0.517,0.011,0.501,7.8,19.7,13.7,6.0,1.0,2.1,20.3,12.5,-0.1,4.1,4.0,0.045,-5.4,0.2,-5.3,-3.5,561
Bryce Drew,243,9.6,0.472,0.369,0.102,1.6,6.9,4.3,21.4,1.6,0.2,15.4,15.5,1.0,1.4,2.4,0.03,-2.1,-1.0,-3.1,-1.1,562
John Drew,739,20.7,0.538,0.005,0.495,10.3,14.5,12.3,9.4,2.2,0.5,12.7,30.8,45.0,23.9,68.9,0.152,2.4,-1.0,1.4,18.7,563
Larry Drew,714,14.0,0.517,0.057,0.243,1.6,6.2,3.9,28.8,2.0,0.1,16.6,20.5,12.3,12.1,24.4,0.064,0.0,-0.9,-0.9,5.0,564
Clyde Drexler,1086,21.1,0.547,0.147,0.337,7.7,12.1,9.9,25.2,2.8,1.2,12.8,25.4,85.6,49.9,135.6,0.173,4.1,1.3,5.4,70.2,565
Terry Driscoll,274,10.9,0.463,0.0,0.308,11.2,16.5,15.0,7.7,1.3,1.0,17.3,17.5,0.3,4.9,5.1,0.068,-2.6,0.2,-2.4,-0.2,566
Andre Drummond,904,21.7,0.544,0.016,0.422,16.7,33.8,25.1,7.4,2.3,4.0,13.5,21.7,29.3,47.4,76.6,0.152,0.6,0.5,1.0,18.5,567
Kevin Duckworth,684,11.9,0.515,0.003,0.326,8.5,16.5,12.5,4.9,0.9,1.1,13.6,21.0,6.6,18.1,24.7,0.068,-2.5,-1.2,-3.8,-7.6,568
Charles Dudley,361,14.0,0.551,,0.578,6.4,11.0,8.6,23.8,2.0,0.1,32.2,11.9,7.6,6.4,14.0,0.106,-0.2,0.5,0.3,3.6,569
Chris Dudley,886,10.7,0.429,0.001,0.446,15.2,22.4,18.8,3.2,1.0,4.2,15.5,12.5,-1.5,27.6,26.2,0.077,-3.5,0.5,-3.0,-4.2,570
Jared Dudley,904,12.5,0.576,0.432,0.246,4.6,11.4,8.0,10.2,1.8,0.6,11.7,14.4,27.8,15.2,43.0,0.103,-0.1,0.3,0.2,11.0,571
Chris Duhon,606,10.8,0.523,0.52,0.219,1.4,8.5,5.0,25.7,1.6,0.2,19.7,13.5,11.6,13.5,25.0,0.077,-1.3,0.1,-1.2,3.2,572
Walter Dukes,553,14.4,0.451,,0.536,,,,,,,,,8.5,15.6,24.0,0.079,,,,,573
Joe Dumars,1018,15.3,0.554,0.199,0.312,2.2,5.0,3.6,20.5,1.3,0.2,12.3,21.1,63.1,23.1,86.2,0.118,1.6,-0.7,0.8,25.3,574
Tim Duncan,1392,24.2,0.551,0.008,0.416,9.7,26.5,18.4,16.4,1.1,4.6,12.3,27.0,100.0,106.3,206.4,0.209,3.3,2.3,5.6,91.1,575
Mike Dunleavy,438,14.0,0.545,0.149,0.322,1.9,7.0,4.5,27.0,1.8,0.2,19.0,18.7,11.1,5.1,16.1,0.092,0.0,-0.6,-0.7,2.9,576
Mike Dunleavy,986,13.9,0.555,0.388,0.261,2.8,14.3,8.5,13.0,1.3,0.9,12.1,18.3,33.1,25.5,58.5,0.103,0.3,0.0,0.3,15.7,577
Kris Dunn,407,12.3,0.504,0.275,0.146,2.5,13.5,7.9,24.7,3.1,1.6,17.0,17.0,0.4,11.4,11.8,0.059,-2.8,1.8,-1.1,2.2,578
T.R. Dunn,993,10.4,0.5,0.005,0.302,7.7,12.3,10.0,8.2,2.6,0.6,13.9,9.7,18.2,21.6,39.8,0.083,-1.0,1.0,0.0,11.5,579
Ronald Dupree,157,10.2,0.463,0.025,0.4,7.5,14.5,11.0,9.7,1.7,1.2,13.0,18.0,-0.2,2.1,1.9,0.052,-3.8,0.3,-3.5,-0.7,580
Kevin Durant,1123,24.8,0.62,0.268,0.394,2.1,18.5,10.6,20.6,1.4,2.5,12.6,30.1,124.9,50.5,175.4,0.204,5.8,0.6,6.4,87.6,581
Ledell Eackles,441,13.8,0.513,0.1,0.329,4.4,7.8,6.1,12.8,1.4,0.2,11.4,24.7,5.6,5.2,10.8,0.058,-0.6,-1.6,-2.3,-0.7,582
Jim Eakins,767,16.4,0.579,0.001,0.541,9.5,17.5,14.0,9.4,1.0,2.2,16.9,17.0,38.1,19.3,57.5,0.145,0.7,0.3,1.0,6.6,583
Mark Eaton,875,10.9,0.496,0.0,0.365,8.4,21.1,15.0,4.3,0.7,6.9,19.8,10.7,-3.2,48.0,44.8,0.085,-3.1,2.9,-0.1,11.8,584
Jerry Eaves,168,11.8,0.538,0.016,0.439,2.6,5.3,4.0,20.6,1.4,0.2,19.3,19.1,1.2,1.4,2.6,0.046,-1.6,-1.6,-3.2,-0.8,585
Tyus Edney,226,13.6,0.505,0.14,0.429,2.9,6.7,4.8,30.6,2.4,0.1,18.8,19.6,3.7,3.1,6.8,0.069,-0.7,-0.8,-1.5,0.7,586
Anthony Edwards,381,17.7,0.566,0.425,0.276,2.3,14.4,8.4,19.6,1.8,1.6,12.0,29.5,9.0,15.9,24.8,0.09,2.0,-0.3,1.7,12.3,587
Blue Edwards,704,12.8,0.537,0.143,0.25,4.4,10.5,7.5,12.5,2.0,1.1,14.4,19.8,9.4,14.8,24.2,0.063,-1.4,-0.2,-1.6,1.9,588
Franklin Edwards,296,12.6,0.494,0.02,0.249,2.0,5.4,3.7,24.5,2.6,0.3,17.9,20.2,0.4,3.5,3.9,0.043,-1.6,-0.3,-1.9,0.1,589
James Edwards,1168,14.7,0.539,0.002,0.398,6.9,16.3,11.6,7.8,0.7,1.7,12.3,22.6,32.0,27.7,59.7,0.101,-1.1,-0.7,-1.7,2.0,590
Kevin Edwards,604,12.7,0.48,0.084,0.223,3.6,8.4,6.0,16.7,2.7,0.8,14.2,21.8,-1.7,14.3,12.5,0.039,-1.5,0.4,-1.1,3.3,591
Johnny Egan,712,12.2,0.493,,0.343,,,3.2,18.7,,,,,14.1,9.7,23.7,0.079,,,,,592
Craig Ehlo,873,13.4,0.523,0.256,0.202,5.4,11.5,8.5,17.0,2.4,0.7,14.6,17.3,15.7,25.5,41.2,0.094,-0.3,0.9,0.6,14.1,593
Howard Eisley,786,11.5,0.505,0.319,0.219,1.6,8.1,4.9,27.3,1.8,0.4,18.8,18.0,8.4,11.1,19.5,0.058,-1.2,-0.5,-1.7,1.3,594
Obinna Ekezie,143,11.2,0.51,0.003,0.641,11.0,18.8,14.8,3.3,1.3,1.3,16.0,17.6,0.8,0.9,1.7,0.054,-3.7,-1.7,-5.4,-1.3,595
Mario Elie,732,13.1,0.598,0.35,0.377,3.2,8.8,6.1,14.9,1.8,0.5,15.5,14.7,30.7,18.2,48.9,0.126,0.0,0.7,0.7,12.6,596
Henry Ellenson,83,10.7,0.482,0.448,0.202,3.8,25.1,14.2,9.5,0.8,0.3,10.4,22.0,-0.4,0.8,0.4,0.023,-2.4,-1.3,-3.7,-0.3,597
Wayne Ellington,770,11.1,0.542,0.584,0.111,1.6,9.9,5.7,8.2,1.3,0.3,8.2,17.0,13.0,8.2,21.1,0.063,-0.5,-0.9,-1.5,2.2,598
Sean Elliott,742,13.9,0.553,0.19,0.34,3.9,10.6,7.3,12.0,1.2,0.8,12.2,19.5,31.4,24.2,55.7,0.109,0.4,-0.2,0.2,13.5,599
Dale Ellis,1209,16.0,0.567,0.279,0.22,5.0,8.8,6.9,8.1,1.4,0.3,9.6,22.6,66.1,18.6,84.7,0.117,2.1,-1.5,0.6,22.9,600
Harold Ellis,145,16.4,0.57,0.035,0.556,10.1,6.8,8.5,7.6,4.1,0.7,13.1,18.9,2.9,1.7,4.6,0.114,-0.4,1.0,0.6,1.3,601
Joe Ellis,524,12.1,0.434,,0.206,6.9,15.3,11.0,9.8,2.8,0.9,,,-8.0,13.0,5.0,0.023,-4.7,0.6,-4.0,-0.3,602
LaPhonso Ellis,624,14.6,0.512,0.124,0.295,8.4,17.4,12.9,9.6,1.3,1.8,12.1,20.7,14.6,18.2,32.8,0.089,-0.5,-0.4,-1.0,4.6,603
LeRon Ellis,91,11.9,0.47,0.0,0.366,11.5,16.8,14.2,4.7,1.4,2.7,10.6,16.5,0.3,0.9,1.2,0.069,-2.5,-1.0,-3.5,-0.3,604
Leroy Ellis,1048,13.2,0.484,,0.277,9.3,19.4,14.1,7.1,1.2,1.4,,,17.7,28.6,46.3,0.081,-0.3,0.3,0.0,2.8,605
Monta Ellis,833,16.0,0.523,0.185,0.273,1.9,9.1,5.5,21.6,2.4,0.8,13.6,24.9,19.9,22.1,41.9,0.069,0.0,-0.3,-0.3,12.4,606
Pervis Ellison,474,15.2,0.546,0.006,0.341,10.3,20.5,15.3,9.0,1.3,4.1,16.2,18.0,7.9,13.9,21.8,0.09,-1.2,0.7,-0.5,4.4,607
Len Elmore,658,11.5,0.45,0.001,0.241,9.0,19.0,13.9,6.4,2.1,3.0,15.1,16.1,-2.2,21.0,18.9,0.073,-2.8,1.3,-1.5,1.6,608
Francisco Elson,472,10.0,0.511,0.011,0.257,8.1,18.5,13.3,5.4,1.6,2.7,17.4,12.9,1.0,10.7,11.7,0.078,-3.8,1.1,-2.7,-1.3,609
Melvin Ely,375,10.6,0.497,0.002,0.401,8.3,15.2,11.7,7.1,0.9,2.6,16.4,17.9,-0.6,4.6,4.0,0.032,-3.3,-0.7,-4.0,-3.1,610
Joel Embiid,452,28.2,0.613,0.191,0.553,7.8,30.1,19.1,20.9,1.4,4.4,13.2,35.4,39.1,25.8,64.9,0.216,5.2,1.6,6.9,32.2,611
Wayne Embry,831,15.1,0.484,,0.413,,,,6.6,,,,,22.7,15.0,37.8,0.083,,,,,612
Andre Emmett,14,8.5,0.534,0.077,1.0,3.1,9.8,6.4,2.2,1.5,1.1,13.8,13.8,0.0,0.0,0.1,0.04,-4.1,-1.4,-5.5,-0.1,613
Chris Engler,195,7.2,0.452,0.0,0.295,10.5,20.5,15.3,4.2,1.1,1.7,19.3,13.5,-0.8,1.4,0.6,0.02,-5.1,-0.7,-5.7,-1.4,614
Alex English,1193,19.9,0.55,0.004,0.244,7.4,10.6,9.0,17.1,1.3,1.2,10.9,26.5,77.6,23.1,100.7,0.127,3.3,-1.3,2.0,38.2,615
James Ennis III,395,11.7,0.582,0.443,0.315,5.4,12.9,9.1,6.9,1.5,1.2,11.8,14.2,9.3,6.9,16.2,0.097,-1.4,-0.1,-1.5,0.9,616
