name,games,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,id
Reggie Miller,1389,18.4,0.614,0.371,0.402,2.2,7.8,5.1,14.4,1.6,0.4,10.5,21.6,140.4,34.1,174.4,0.176,3.7,-0.2,3.5,66.1,1413
Chris Mills,568,13.3,0.517,0.226,0.251,5.3,14.5,9.8,10.6,1.3,1.1,10.6,18.7,18.8,18.9,37.7,0.105,-0.5,0.1,-0.5,6.8,1414
Patty Mills,921,13.3,0.562,0.595,0.129,1.7,7.3,4.5,16.2,1.6,0.4,10.8,19.4,20.1,15.8,35.9,0.094,0.3,-0.5,-0.2,8.5,1415
Terry Mills,678,14.7,0.531,0.223,0.195,6.9,18.6,12.7,9.0,1.2,1.2,11.2,20.5,17.5,15.9,33.3,0.097,0.0,-0.6,-0.6,5.9,1416
Paul Millsap,1085,18.7,0.559,0.142,0.376,8.9,20.0,14.5,12.6,2.2,2.8,12.3,21.7,49.7,45.7,95.4,0.15,0.9,1.0,1.9,29.9,1417
Shake Milton,359,12.6,0.552,0.349,0.228,2.9,10.2,6.6,18.9,1.2,1.0,12.2,19.6,5.5,6.2,11.7,0.084,-1.4,-0.7,-2.0,-0.1,1418
Yao Ming,486,23.0,0.596,0.002,0.463,9.3,23.3,16.5,9.6,0.6,4.4,14.5,26.8,36.7,29.3,65.9,0.2,2.0,1.2,3.2,20.7,1419
Greg Minor,277,12.9,0.52,0.064,0.227,5.5,11.2,8.2,12.0,1.5,0.6,11.0,17.3,5.3,2.9,8.2,0.077,-0.9,-0.6,-1.5,0.7,1420
Nikola Mirotić,319,16.7,0.565,0.555,0.277,4.2,21.8,13.1,8.3,1.5,2.3,9.9,21.7,10.2,10.6,20.8,0.129,1.4,0.3,1.6,7.1,1421
Donovan Mitchell,539,20.0,0.569,0.42,0.256,2.7,11.2,7.1,23.4,2.0,0.8,11.0,31.5,28.3,23.7,51.9,0.137,3.4,0.1,3.5,25.2,1422
Mike Mitchell,759,16.7,0.529,0.007,0.224,6.8,12.1,9.4,6.2,1.0,0.9,8.4,25.1,37.4,12.8,50.2,0.098,0.9,-2.0,-1.2,5.2,1423
Sam Mitchell,994,12.6,0.514,0.041,0.377,6.4,13.0,9.6,7.5,1.3,0.9,9.1,18.3,26.0,15.6,41.7,0.09,-1.6,-0.9,-2.5,-3.1,1424
Steve Mix,788,16.2,0.558,0.003,0.376,7.9,14.4,11.1,10.4,2.3,0.5,13.8,20.3,33.6,24.1,57.6,0.147,1.2,0.6,1.8,17.1,1425
Cuttino Mobley,747,14.4,0.536,0.287,0.269,2.3,9.7,6.1,12.7,1.7,0.8,12.0,21.1,31.3,20.9,52.2,0.091,0.2,-0.4,-0.1,12.9,1426
Doug Moe,378,16.2,0.495,0.017,0.358,4.8,9.6,9.4,13.9,,,13.1,21.4,11.6,13.9,25.5,0.101,,,,,1427
Leo Mogus,231,,0.418,,0.491,,,,,,,,,15.5,6.4,21.9,,,,,,1428
Nazr Mohammed,1005,15.0,0.516,0.002,0.324,13.3,21.0,17.2,4.0,1.4,3.0,14.0,19.0,11.1,23.2,34.3,0.104,-2.1,-0.5,-2.6,-2.2,1429
Jérôme Moïso,145,12.1,0.515,0.009,0.365,10.3,22.7,16.4,4.6,1.7,3.6,21.7,15.9,-0.3,2.4,2.1,0.074,-3.9,1.0,-2.9,-0.3,1430
Paul Mokeski,694,8.9,0.496,0.021,0.328,8.1,19.1,13.6,6.9,1.1,1.8,17.3,14.2,0.3,13.2,13.5,0.067,-4.0,0.6,-3.3,-3.3,1431
Sidney Moncrief,767,18.7,0.591,0.047,0.527,7.1,10.2,8.6,17.0,1.9,0.6,13.3,20.6,61.4,28.9,90.3,0.187,3.2,0.5,3.7,33.1,1432
Eric Money,426,14.5,0.525,0.0,0.216,3.3,5.4,4.3,21.7,2.2,0.3,19.6,22.8,8.3,6.4,14.8,0.065,-0.4,-0.8,-1.2,2.1,1433
Malik Monk,523,14.3,0.555,0.501,0.19,1.8,11.1,6.4,20.8,1.3,1.3,12.7,24.0,7.2,7.9,15.2,0.061,0.3,-1.3,-1.0,2.9,1434
Earl Monroe,926,17.2,0.517,0.0,0.303,2.0,7.3,4.4,17.5,1.5,0.5,11.3,23.6,50.9,26.5,77.4,0.125,1.5,-0.7,0.8,9.8,1435
Greg Monroe,646,20.1,0.553,0.003,0.36,11.4,23.0,17.1,13.4,2.0,1.7,13.6,22.3,29.9,20.5,50.4,0.137,1.5,-0.1,1.4,15.3,1436
Eric Montross,465,9.1,0.497,0.002,0.332,9.4,19.8,14.5,3.7,0.8,2.4,16.3,12.9,0.3,8.2,8.5,0.048,-3.9,-0.5,-4.4,-5.2,1437
Jamario Moon,286,13.1,0.541,0.343,0.146,3.7,18.7,11.2,6.8,1.9,2.9,8.1,13.1,5.7,8.5,14.3,0.106,-0.4,1.5,1.1,5.1,1438
