name,pos,games,games_started,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,awards
PJ Dozier,,130,6,2008,10.3,.485,.407,.173,3.8,15.0,9.4,13.7,1.6,1.7,11.4,17.7,-0.2,2.0,1.8,.043,-2.7,-0.2,-2.9,-0.5,
Goran Dragić,,946,530,25604,16.5,.556,.317,.287,2.9,9.5,6.2,27.7,1.7,0.5,15.4,23.2,36.5,20.2,56.7,.106,1.1,-0.6,0.5,15.9,
Greg Dreiling,,474,94,4241,7.4,.517,.011,.501,7.8,19.7,13.7,6.0,1.0,2.1,20.3,12.5,-0.1,4.1,4.0,.045,-5.4,0.2,-5.3,-3.5,
Bryce Drew,,243,46,3970,9.6,.472,.369,.102,1.6,6.9,4.3,21.4,1.6,0.2,15.4,15.5,1.0,1.4,2.4,.030,-2.1,-1.0,-3.1,-1.1,
John Drew,,739,183,21828,20.7,.538,.005,.495,10.3,14.5,12.3,9.4,2.2,0.5,12.7,30.8,45.0,23.9,68.9,.152,2.4,-1.0,1.4,18.7,
Larry Drew,,714,341,18370,14.0,.517,.057,.243,1.6,6.2,3.9,28.8,2.0,0.1,16.6,20.5,12.3,12.1,24.4,.064,0.0,-0.9,-0.9,5.0,
Clyde Drexler,,1086,950,37537,21.1,.547,.147,.337,7.7,12.1,9.9,25.2,2.8,1.2,12.8,25.4,85.6,49.9,135.6,.173,4.1,1.3,5.4,70.2,
Terry Driscoll,,274,,3632,10.9,.463,.000,.308,11.2,16.5,15.0,7.7,1.3,1.0,17.3,17.5,0.3,4.9,5.1,.068,-2.6,0.2,-2.4,-0.2,
Andre Drummond,,904,663,24220,21.7,.544,.016,.422,16.7,33.8,25.1,7.4,2.3,4.0,13.5,21.7,29.3,47.4,76.6,.152,0.6,0.5,1.0,18.5,
Kevin Duckworth,,684,527,17462,11.9,.515,.003,.326,8.5,16.5,12.5,4.9,0.9,1.1,13.6,21.0,6.6,18.1,24.7,.068,-2.5,-1.2,-3.8,-7.6,
Charles Dudley,,361,,6337,14.0,.551,,.578,6.4,11.0,8.6,23.8,2.0,0.1,32.2,11.9,7.6,6.4,14.0,.106,-0.2,0.5,0.3,3.6,
Chris Dudley,,886,331,16321,10.7,.429,.001,.446,15.2,22.4,18.8,3.2,1.0,4.2,15.5,12.5,-1.5,27.6,26.2,.077,-3.5,0.5,-3.0,-4.2,
Jared Dudley,,904,286,20117,12.5,.576,.432,.246,4.6,11.4,8.0,10.2,1.8,0.6,11.7,14.4,27.8,15.2,43.0,.103,-0.1,0.3,0.2,11.0,
Chris Duhon,,606,319,15526,10.8,.523,.520,.219,1.4,8.5,5.0,25.7,1.6,0.2,19.7,13.5,11.6,13.5,25.0,.077,-1.3,0.1,-1.2,3.2,
Walter Dukes,,553,,14671,14.4,.451,,.536,,,,,,,,,8.5,15.6,24.0,.079,,,,,
Joe Dumars,,1018,944,35139,15.3,.554,.199,.312,2.2,5.0,3.6,20.5,1.3,0.2,12.3,21.1,63.1,23.1,86.2,.118,1.6,-0.7,0.8,25.3,
Tim Duncan,,1392,1389,47368,24.2,.551,.008,.416,9.7,26.5,18.4,16.4,1.1,4.6,12.3,27.0,100.0,106.3,206.4,.209,3.3,2.3,5.6,91.1,
Mike Dunleavy,,438,55,8428,14.0,.545,.149,.322,1.9,7.0,4.5,27.0,1.8,0.2,19.0,18.7,11.1,5.1,16.1,.092,0.0,-0.6,-0.7,2.9,
Mike Dunleavy,,986,585,27340,13.9,.555,.388,.261,2.8,14.3,8.5,13.0,1.3,0.9,12.1,18.3,33.1,25.5,58.5,.103,0.3,0.0,0.3,15.7,
Kris Dunn,,407,222,9497,12.3,.504,.275,.146,2.5,13.5,7.9,24.7,3.1,1.6,17.0,17.0,0.4,11.4,11.8,.059,-2.8,1.8,-1.1,2.2,
T.R. Dunn,,993,457,23080,10.4,.500,.005,.302,7.7,12.3,10.0,8.2,2.6,0.6,13.9,9.7,18.2,21.6,39.8,.083,-1.0,1.0,0.0,11.5,
Ronald Dupree,,157,8,1758,10.2,.463,.025,.400,7.5,14.5,11.0,9.7,1.7,1.2,13.0,18.0,-0.2,2.1,1.9,.052,-3.8,0.3,-3.5,-0.7,
Kevin Durant,,1123,1120,41237,24.8,.620,.268,.394,2.1,18.5,10.6,20.6,1.4,2.5,12.6,30.1,124.9,50.5,175.4,.204,5.8,0.6,6.4,87.6,
Ledell Eackles,,441,88,8917,13.8,.513,.100,.329,4.4,7.8,6.1,12.8,1.4,0.2,11.4,24.7,5.6,5.2,10.8,.058,-0.6,-1.6,-2.3,-0.7,
Jim Eakins,,767,,19023,16.4,.579,.001,.541,9.5,17.5,14.0,9.4,1.0,2.2,16.9,17.0,38.1,19.3,57.5,.145,0.7,0.3,1.0,6.6,
Mark Eaton,,875,815,25169,10.9,.496,.000,.365,8.4,21.1,15.0,4.3,0.7,6.9,19.8,10.7,-3.2,48.0,44.8,.085,-3.1,2.9,-0.1,11.8,
Jerry Eaves,,168,8,2685,11.8,.538,.016,.439,2.6,5.3,4.0,20.6,1.4,0.2,19.3,19.1,1.2,1.4,2.6,.046,-1.6,-1.6,-3.2,-0.8,
Tyus Edney,,226,87,4743,13.6,.505,.140,.429,2.9,6.7,4.8,30.6,2.4,0.1,18.8,19.6,3.7,3.1,6.8,.069,-0.7,-0.8,-1.5,0.7,
Anthony Edwards,,381,363,13263,17.7,.566,.425,.276,2.3,14.4,8.4,19.6,1.8,1.6,12.0,29.5,9.0,15.9,24.8,.090,2.0,-0.3,1.7,12.3,
Blue Edwards,,704,452,18409,12.8,.537,.143,.250,4.4,10.5,7.5,12.5,2.0,1.1,14.4,19.8,9.4,14.8,24.2,.063,-1.4,-0.2,-1.6,1.9,
Franklin Edwards,,296,36,4436,12.6,.494,.020,.249,2.0,5.4,3.7,24.5,2.6,0.3,17.9,20.2,0.4,3.5,3.9,.043,-1.6,-0.3,-1.9,0.1,
James Edwards,,1168,763,28356,14.7,.539,.002,.398,6.9,16.3,11.6,7.8,0.7,1.7,12.3,22.6,32.0,27.7,59.7,.101,-1.1,-0.7,-1.7,2.0,
Kevin Edwards,,604,302,15332,12.7,.480,.084,.223,3.6,8.4,6.0,16.7,2.7,0.8,14.2,21.8,-1.7,14.3,12.5,.039,-1.5,0.4,-1.1,3.3,
Johnny Egan,,712,,14448,12.2,.493,,.343,,,3.2,18.7,,,,,14.1,9.7,23.7,.079,,,,,
Craig Ehlo,,873,321,21071,13.4,.523,.256,.202,5.4,11.5,8.5,17.0,2.4,0.7,14.6,17.3,15.7,25.5,41.2,.094,-0.3,0.9,0.6,14.1,
Howard Eisley,,786,167,16013,11.5,.505,.319,.219,1.6,8.1,4.9,27.3,1.8,0.4,18.8,18.0,8.4,11.1,19.5,.058,-1.2,-0.5,-1.7,1.3,
Obinna Ekezie,,143,32,1516,11.2,.510,.003,.641,11.0,18.8,14.8,3.3,1.3,1.3,16.0,17.6,0.8,0.9,1.7,.054,-3.7,-1.7,-5.4,-1.3,
Mario Elie,,732,395,18654,13.1,.598,.350,.377,3.2,8.8,6.1,14.9,1.8,0.5,15.5,14.7,30.7,18.2,48.9,.126,0.0,0.7,0.7,12.6,
Henry Ellenson,,83,2,787,10.7,.482,.448,.202,3.8,25.1,14.2,9.5,0.8,0.3,10.4,22.0,-0.4,0.8,0.4,.023,-2.4,-1.3,-3.7,-0.3,
Wayne Ellington,,770,206,16100,11.1,.542,.584,.111,1.6,9.9,5.7,8.2,1.3,0.3,8.2,17.0,13.0,8.2,21.1,.063,-0.5,-0.9,-1.5,2.2,
Sean Elliott,,742,712,24502,13.9,.553,.190,.340,3.9,10.6,7.3,12.0,1.2,0.8,12.2,19.5,31.4,24.2,55.7,.109,0.4,-0.2,0.2,13.5,
Dale Ellis,,1209,589,34778,16.0,.567,.279,.220,5.0,8.8,6.9,8.1,1.4,0.3,9.6,22.6,66.1,18.6,84.7,.117,2.1,-1.5,0.6,22.9,
Harold Ellis,,145,26,1923,16.4,.570,.035,.556,10.1,6.8,8.5,7.6,4.1,0.7,13.1,18.9,2.9,1.7,4.6,.114,-0.4,1.0,0.6,1.3,
Joe Ellis,,524,,10374,12.1,.434,,.206,6.9,15.3,11.0,9.8,2.8,0.9,,,-8.0,13.0,5.0,.023,-4.7,0.6,-4.0,-0.3,
LaPhonso Ellis,,624,359,17616,14.6,.512,.124,.295,8.4,17.4,12.9,9.6,1.3,1.8,12.1,20.7,14.6,18.2,32.8,.089,-0.5,-0.4,-1.0,4.6,
LeRon Ellis,,91,2,857,11.9,.470,.000,.366,11.5,16.8,14.2,4.7,1.4,2.7,10.6,16.5,0.3,0.9,1.2,.069,-2.5,-1.0,-3.5,-0.3,
Leroy Ellis,,1048,232,27520,13.2,.484,,.277,9.3,19.4,14.1,7.1,1.2,1.4,,,17.7,28.6,46.3,.081,-0.3,0.3,0.0,2.8,
Monta Ellis,,833,713,29011,16.0,.523,.185,.273,1.9,9.1,5.5,21.6,2.4,0.8,13.6,24.9,19.9,22.1,41.9,.069,0.0,-0.3,-0.3,12.4,
Pervis Ellison,,474,245,11593,15.2,.546,.006,.341,10.3,20.5,15.3,9.0,1.3,4.1,16.2,18.0,7.9,13.9,21.8,.090,-1.2,0.7,-0.5,4.4,
Len Elmore,,658,178,12389,11.5,.450,.001,.241,9.0,19.0,13.9,6.4,2.1,3.0,15.1,16.1,-2.2,21.0,18.9,.073,-2.8,1.3,-1.5,1.6,
Francisco Elson,,472,149,7207,10.0,.511,.011,.257,8.1,18.5,13.3,5.4,1.6,2.7,17.4,12.9,1.0,10.7,11.7,.078,-3.8,1.1,-2.7,-1.3,
Melvin Ely,,375,55,6005,10.6,.497,.002,.401,8.3,15.2,11.7,7.1,0.9,2.6,16.4,17.9,-0.6,4.6,4.0,.032,-3.3,-0.7,-4.0,-3.1,
Joel Embiid,,452,452,14407,28.2,.613,.191,.553,7.8,30.1,19.1,20.9,1.4,4.4,13.2,35.4,39.1,25.8,64.9,.216,5.2,1.6,6.9,32.2,
Wayne Embry,,831,,21763,15.1,.484,,.413,,,,6.6,,,,,22.7,15.0,37.8,.083,,,,,
Andre Emmett,,14,0,73,8.5,.534,.077,1.000,3.1,9.8,6.4,2.2,1.5,1.1,13.8,13.8,0.0,0.0,0.1,.040,-4.1,-1.4,-5.5,-0.1,
Chris Engler,,195,2,1405,7.2,.452,.000,.295,10.5,20.5,15.3,4.2,1.1,1.7,19.3,13.5,-0.8,1.4,0.6,.020,-5.1,-0.7,-5.7,-1.4,
Alex English,,1193,837,38063,19.9,.550,.004,.244,7.4,10.6,9.0,17.1,1.3,1.2,10.9,26.5,77.6,23.1,100.7,.127,3.3,-1.3,2.0,38.2,
James Ennis III,,395,140,8022,11.7,.582,.443,.315,5.4,12.9,9.1,6.9,1.5,1.2,11.8,14.2,9.3,6.9,16.2,.097,-1.4,-0.1,-1.5,0.9,
Keith Erickson,,766,,18841,12.2,.475,,.230,5.1,13.6,8.8,14.2,1.6,0.4,,,6.9,18.3,25.2,.064,-0.3,-0.3,-0.6,2.3,
Julius Erving,,1243,823,45227,23.5,.558,.019,.345,8.6,15.0,11.9,17.7,2.5,2.6,13.5,27.2,107.3,73.8,181.1,.192,4.6,1.6,6.2,80.1,
Drew Eubanks,,384,75,5884,16.4,.642,.037,.389,10.0,22.0,16.0,8.9,1.1,4.7,16.0,14.8,9.4,6.5,15.9,.130,-1.1,0.4,-0.7,1.9,
Jeremy Evans,,250,9,2626,17.3,.600,.041,.330,10.4,18.0,14.1,6.6,1.8,3.7,10.4,14.2,5.5,2.7,8.2,.150,0.2,0.7,0.9,1.9,
Maurice Evans,,562,123,10918,11.9,.537,.363,.183,6.0,8.7,7.4,6.0,1.4,0.6,7.4,15.8,14.1,7.6,21.7,.096,-0.5,-0.8,-1.3,2.0,
Mike Evans,,591,15,9858,12.0,.514,.185,.192,1.9,6.9,4.3,19.7,2.0,0.3,15.7,20.2,3.0,6.3,9.3,.045,-1.5,-0.9,-2.4,-1.1,
Reggie Evans,,809,372,15572,11.7,.502,.005,.856,15.0,28.7,21.9,4.3,1.9,0.6,21.5,12.1,6.6,20.5,27.1,.084,-2.2,-0.6,-2.7,-2.9,
Tyreke Evans,,594,426,18242,17.1,.517,.194,.303,3.1,14.0,8.5,26.3,2.0,1.0,14.1,25.6,15.0,13.4,28.4,.075,1.1,-0.3,0.8,13.1,
Patrick Ewing,,1183,1122,40594,21.0,.553,.006,.379,7.9,24.7,16.4,9.8,1.4,4.8,13.6,28.0,45.0,81.4,126.4,.150,1.3,1.6,2.9,50.1,
Dante Exum,,320,102,6005,9.6,.538,.419,.217,2.3,9.3,5.8,17.8,1.1,0.7,17.0,16.5,2.0,4.6,6.6,.053,-2.4,-0.4,-2.8,-1.2,
John Fairchild,,165,8,2277,11.9,.459,.037,.348,,,9.9,7.3,,,14.6,21.7,0.5,1.3,1.8,.037,,,,,
Kenneth Faried,,478,385,11728,19.7,.577,.011,.397,13.8,22.9,18.3,6.5,1.5,2.6,11.7,19.7,25.5,13.3,38.8,.159,1.2,-0.7,0.5,7.5,
Dick Farley,,211,,3822,12.1,.455,,.474,,,,,,,,,3.6,4.7,8.2,.103,,,,,
Jordan Farmar,,504,40,9840,13.3,.528,.452,.151,1.9,9.2,5.5,23.6,2.0,0.4,15.9,20.0,5.9,8.0,13.9,.068,0.0,-0.5,-0.5,3.7,
Jim Farmer,,136,1,1454,10.9,.490,.121,.305,5.6,8.1,6.8,10.9,1.4,0.2,13.9,23.1,-0.1,0.8,0.7,.024,-2.5,-1.7,-4.3,-0.8,
Mike Farmer,,423,,8818,9.9,.436,,.201,,,,9.7,,,,,-0.1,6.5,6.3,.035,,,,,
Derrick Favors,,790,503,19202,18.8,.566,.030,.347,11.4,21.7,16.5,7.4,1.5,4.0,11.9,19.7,31.7,28.5,60.2,.150,0.2,0.7,0.9,14.0,
Jamie Feick,,201,35,4316,12.4,.472,.036,.378,13.1,25.1,18.9,5.0,1.4,1.5,13.6,11.7,3.5,4.7,8.2,.091,-1.4,-1.3,-2.7,-0.7,
Dave Feitl,,275,58,3001,9.8,.482,.008,.306,8.6,21.4,14.9,5.8,0.7,0.9,15.9,19.8,-1.4,2.8,1.4,.022,-4.1,-1.7,-5.8,-2.9,
Cristiano Felício,,252,20,3554,14.0,.602,.019,.426,11.4,18.8,15.1,7.5,1.0,1.1,14.8,12.9,5.9,3.1,9.0,.121,-1.6,-0.9,-2.5,-0.4,
Ray Felix,,637,,15187,17.1,.481,,.546,,,,,,,,,26.9,12.7,39.6,.125,,,,,
Raymond Felton,,971,659,28829,13.8,.497,.282,.218,2.2,9.4,5.8,28.9,2.1,0.6,15.5,20.4,16.2,23.9,40.2,.067,-0.2,-0.4,-0.6,10.1,
Bruno Fernando,,220,21,2325,13.9,.576,.076,.389,10.8,22.7,16.6,9.8,1.2,4.0,17.5,16.5,1.6,2.2,3.8,.079,-3.2,0.2,-3.0,-0.6,
Eric Fernsten,,218,0,1643,11.7,.498,.000,.447,9.8,15.5,12.6,6.8,1.5,1.8,15.3,14.4,1.0,2.4,3.3,.098,-1.4,0.6,-0.7,0.6,
Al Ferrari,,371,,7582,9.5,.445,,.424,,,,,,,,,3.5,5.4,8.9,.056,,,,,
Duane Ferrell,,583,72,8734,12.9,.538,.049,.370,7.0,7.6,7.3,9.0,1.8,0.8,12.9,19.3,9.0,6.6,15.6,.086,-1.2,-0.6,-1.8,0.5,
Yogi Ferrell,,259,53,5212,12.2,.537,.460,.180,1.4,10.2,5.7,17.2,1.6,0.5,10.5,17.8,4.1,3.6,7.7,.071,-1.1,-0.2,-1.3,0.9,
Bob Ferry,,634,,12828,13.8,.480,,.390,,,,9.5,,,,,11.3,9.0,20.2,.076,,,,,
Danny Ferry,,917,186,18133,11.8,.536,.307,.159,4.3,12.5,8.4,10.9,1.1,1.2,11.9,17.6,15.7,19.0,34.8,.092,-0.9,-0.1,-0.9,4.9,
Kyrylo Fesenko,,135,7,1107,8.5,.490,.008,.532,10.6,18.5,14.5,5.3,0.9,3.8,17.5,15.4,-0.4,1.3,0.9,.038,-5.6,-0.1,-5.7,-1.1,
Landry Fields,,255,176,6010,12.1,.539,.250,.252,4.7,16.4,10.5,10.8,1.8,0.6,14.4,14.0,4.7,5.8,10.5,.084,-0.6,0.3,-0.3,2.6,
Hank Finkel,,551,,6866,12.6,.487,,.325,7.8,17.6,13.2,8.1,0.5,0.5,,,3.6,9.9,13.5,.094,-3.0,0.0,-3.0,-0.2,
Michael Finley,,1103,875,37996,16.0,.527,.257,.201,3.3,10.9,7.2,14.5,1.4,0.6,9.0,21.7,56.9,28.3,85.2,.108,1.6,-0.6,1.0,28.8,
Dorian Finney-Smith,,591,444,16521,10.7,.563,.618,.137,5.9,12.0,8.9,7.2,1.5,1.4,10.6,13.0,13.6,14.8,28.4,.083,-1.2,0.1,-1.0,4.0,
Derek Fisher,,1287,731,32719,11.7,.514,.358,.266,1.4,7.6,4.6,17.4,2.1,0.2,12.4,16.2,32.0,30.2,62.3,.091,-1.4,0.5,-0.9,8.9,
Marcus Fizer,,289,35,6032,13.4,.481,.043,.317,7.0,18.9,12.8,11.0,1.2,1.0,12.9,25.1,-1.3,4.0,2.7,.022,-1.9,-1.8,-3.7,-2.6,
Jerry Fleishman,,262,,882,13.6,.336,,.345,,,,,,,,,-1.1,8.9,7.8,.031,,,,,
Ed Fleming,,292,,6186,14.1,.436,,.448,,,,,,,,,3.3,6.5,9.8,.076,,,,,
Vern Fleming,,893,523,24721,15.1,.550,.026,.355,4.5,9.0,6.8,25.2,1.8,0.3,16.3,18.7,33.2,18.8,52.0,.101,0.6,-0.1,0.4,15.3,
Sleepy Floyd,,957,584,26383,15.5,.531,.160,.349,2.5,7.8,5.1,27.7,2.0,0.5,16.3,21.1,29.9,20.7,50.6,.092,0.9,-0.4,0.5,16.6,
Malachi Flynn,,217,21,3076,10.9,.499,.511,.172,2.0,11.9,6.8,19.1,1.9,0.7,11.1,18.6,0.4,2.5,2.9,.045,-2.4,-0.2,-2.6,-0.5,
Bryn Forbes,,431,167,8582,11.0,.572,.563,.131,0.9,8.1,4.5,8.6,0.9,0.1,8.3,18.2,7.0,4.7,11.6,.065,-1.0,-1.4,-2.4,-0.8,
Chris Ford,,794,283,22043,12.2,.494,.049,.173,4.3,6.8,5.8,16.4,2.6,0.5,15.2,16.1,14.8,20.7,35.6,.077,-0.7,0.9,0.3,11.6,
Don Ford,,474,83,9301,10.8,.495,.002,.178,6.2,12.5,9.4,8.8,1.3,0.8,15.1,13.7,5.1,7.6,12.7,.066,-1.5,-0.3,-1.8,0.4,
Phil Ford,,482,266,13503,13.9,.531,.026,.351,1.3,5.7,3.5,30.2,2.0,0.1,20.1,19.6,10.8,12.5,23.3,.083,-0.1,-0.6,-0.8,4.1,
T.J. Ford,,429,306,11882,15.1,.503,.104,.294,2.8,10.1,6.4,34.1,2.2,0.3,18.0,22.2,6.4,10.4,16.9,.068,-0.2,-0.2,-0.4,4.6,
Danny Fortson,,440,175,8832,16.2,.562,.005,.614,15.0,26.2,20.4,5.8,1.1,0.8,16.9,19.4,16.5,5.8,22.3,.121,-1.1,-2.1,-3.2,-2.6,
Fred Foster,,524,20,9116,10.7,.452,,.231,5.4,6.9,6.6,9.2,1.1,0.2,,,-2.2,5.1,2.9,.016,-2.6,-1.7,-4.3,-1.4,
Greg Foster,,656,95,7974,8.9,.482,.037,.238,7.7,17.2,12.5,6.8,0.6,1.8,15.0,17.4,-1.4,7.0,5.6,.033,-4.4,-1.1,-5.5,-7.0,
Jeff Foster,,764,345,15750,14.2,.531,.018,.437,15.2,22.6,19.0,6.8,1.7,1.4,14.8,12.0,23.2,24.3,47.5,.145,-0.7,0.2,-0.4,6.3,
Evan Fournier,,704,504,19514,13.5,.561,.464,.217,1.5,9.1,5.2,14.3,1.6,0.5,11.2,21.6,17.0,13.5,30.5,.075,-0.4,-0.7,-1.1,4.3,
Larry Foust,,817,,21890,19.8,.485,,.512,,,,,,,,,51.1,28.0,79.2,.164,,,,,
De'Aaron Fox,,531,517,17660,18.6,.557,.275,.324,2.0,11.1,6.5,29.1,2.1,1.1,12.4,28.4,20.5,13.4,33.9,.092,1.6,-0.7,0.8,12.7,
Jim Fox,,743,,17294,15.2,.539,,.411,9.0,20.8,15.6,9.5,1.1,0.7,,,27.7,14.1,41.8,.116,0.0,-0.2,-0.1,2.8,
Rick Fox,,930,587,23723,13.6,.538,.294,.247,4.7,12.0,8.3,17.1,2.1,1.0,16.2,18.4,22.8,21.9,44.7,.090,-0.4,0.4,0.0,11.7,
Randy Foye,,752,433,19279,12.0,.524,.447,.212,1.5,8.6,5.0,17.5,1.4,0.9,13.0,19.7,14.2,9.2,23.5,.058,-0.4,-0.8,-1.2,3.8,
Adonal Foyle,,733,269,13060,12.3,.486,.001,.256,10.5,18.4,14.3,4.0,1.0,6.4,16.2,12.2,3.2,15.4,18.7,.069,-2.8,1.2,-1.7,1.1,
Richie Frahm,,140,2,1473,12.0,.545,.617,.145,2.9,10.0,6.5,9.3,1.3,0.5,7.1,15.6,2.2,0.7,2.8,.092,0.0,-0.8,-0.7,0.5,
Steve Francis,,576,543,21632,18.3,.533,.204,.423,5.2,11.8,8.6,28.4,2.1,0.7,17.2,25.0,34.5,19.6,54.1,.120,2.2,-0.1,2.2,22.7,
Tellis Frank,,264,81,4703,10.3,.499,.003,.400,8.5,15.9,12.1,8.2,1.6,1.2,16.0,17.6,0.2,3.8,4.0,.041,-3.7,-0.4,-4.1,-2.5,
Ron Franz,,403,,9912,14.2,.507,.048,.414,6.2,13.1,9.8,9.7,,,14.0,20.5,10.5,7.6,18.1,.088,,,,,
Tim Frazier,,289,84,5088,11.3,.491,.315,.270,2.9,10.9,6.9,31.2,1.9,0.4,20.9,15.5,2.1,4.2,6.3,.059,-2.5,-0.1,-2.7,-0.9,
Walt Frazier,,825,,30965,19.1,.542,.000,.338,3.1,11.7,7.6,23.0,2.3,0.2,12.9,21.7,69.1,44.5,113.5,.176,1.8,0.7,2.5,15.5,
Jimmer Fredette,,241,7,3213,12.5,.521,.405,.175,1.8,6.8,4.3,16.8,1.5,0.3,13.9,22.1,1.9,0.3,2.2,.033,-0.4,-2.1,-2.5,-0.4,
World B. Free,,886,392,26893,18.8,.527,.044,.438,4.0,5.7,4.8,19.0,1.6,0.4,10.9,29.0,54.6,13.1,67.7,.121,2.6,-1.3,1.2,22.0,
Enes Freedom,,748,259,16101,20.8,.590,.025,.299,15.2,24.6,19.9,6.7,0.9,1.9,13.2,22.2,36.0,16.8,52.8,.157,1.5,-1.7,-0.1,7.6,
Donnie Freeman,,648,131,21026,18.3,.523,.007,.386,4.6,4.5,5.0,16.2,1.3,0.4,11.1,23.7,37.0,21.0,58.0,.132,0.1,-1.0,-0.9,1.5,
Channing Frye,,890,445,19772,13.3,.547,.407,.160,4.5,18.6,11.6,6.8,1.2,2.1,9.9,18.0,20.7,18.2,38.9,.094,-0.4,0.0,-0.4,8.0,
Joe Fulks,,489,,4490,10.9,.374,,.329,,,,,,,,,8.3,20.9,29.2,-0.045,,,,,
Todd Fuller,,225,23,2500,10.3,.472,.005,.400,11.1,19.7,15.5,3.0,0.7,1.8,14.2,18.6,-0.2,2.4,2.2,.041,-4.0,-1.7,-5.7,-2.3,
Markelle Fultz,,255,164,6123,14.3,.514,.124,.186,4.0,10.9,7.4,28.3,2.3,1.1,14.9,21.4,1.5,6.9,8.4,.066,-1.6,0.4,-1.2,1.2,
Lawrence Funderburke,,318,7,4726,16.4,.543,.011,.374,10.2,15.7,12.9,6.3,1.0,1.4,10.7,19.2,8.1,4.8,12.9,.131,0.5,-0.9,-0.5,1.8,
Bill Gabor,,307,,3680,12.9,.412,,.362,,,,,,,,,3.1,8.2,11.2,.081,,,,,
Wenyen Gabriel,,150,8,1939,12.4,.578,.244,.340,11.5,16.9,14.2,5.0,1.3,2.8,14.9,14.8,1.6,2.2,3.8,.093,-3.2,-0.5,-3.7,-0.8,
Dan Gadzuric,,527,164,7793,14.4,.508,.004,.351,13.4,21.6,17.4,4.0,1.6,4.4,12.8,16.2,6.0,9.9,15.8,.097,-2.3,0.0,-2.3,-0.7,
Daniel Gafford,,378,215,7489,21.4,.718,.000,.429,12.0,19.0,15.5,7.9,1.2,6.7,12.9,16.1,21.4,9.7,31.1,.199,0.7,1.2,1.9,7.4,
Corey Gaines,,80,10,1002,10.8,.499,.221,.332,1.2,6.4,3.8,31.9,1.9,0.2,22.5,12.9,0.6,0.5,1.1,.052,-1.9,-0.4,-2.3,-0.1,
Mike Gale,,842,70,20645,12.5,.503,.016,.217,3.3,8.5,6.0,18.6,3.2,1.0,19.6,14.3,8.3,26.2,34.6,.080,-1.1,1.8,0.7,11.8,
Harry Gallatin,,682,,15813,21.6,.497,,.590,,,,,,,,,56.1,22.2,78.4,.182,,,,,
Danilo Gallinari,,777,563,22410,16.8,.592,.463,.425,2.6,15.2,8.9,9.9,1.2,0.9,8.5,20.9,50.7,14.7,65.4,.140,2.4,-0.7,1.7,20.8,
Langston Galloway,,452,62,9840,11.4,.521,.529,.152,2.4,10.2,6.2,11.5,1.6,0.5,7.1,17.1,7.6,6.8,14.4,.070,-1.1,-0.4,-1.4,1.3,
Dave Gambee,,750,,14665,15.2,.500,,.416,,,,7.9,,,,,21.8,14.1,35.9,.117,,,,,
Kevin Gamble,,649,270,14508,14.2,.555,.124,.194,3.0,8.3,5.7,13.1,1.6,0.8,9.6,18.3,22.3,11.0,33.3,.110,0.0,0.2,0.2,8.1,
Francisco García,,549,137,11853,12.3,.541,.445,.210,2.7,11.0,6.8,10.0,1.9,2.4,12.0,17.0,9.1,9.1,18.2,.074,-0.5,0.4,-0.1,5.7,
Darius Garland,,382,378,12693,16.3,.568,.398,.206,1.7,7.2,4.5,31.5,1.7,0.3,15.1,25.7,13.8,10.7,24.6,.093,1.6,-1.3,0.3,7.3,
Winston Garland,,511,315,13391,12.5,.487,.059,.245,3.3,8.3,5.8,25.7,2.4,0.4,16.5,17.9,4.3,9.9,14.2,.051,-1.6,-0.1,-1.6,1.3,
Dick Garmaker,,421,,12155,14.2,.475,,.393,,,,,,,,,18.7,6.9,25.6,.101,,,,,
Kevin Garnett,,1462,1425,50418,22.7,.546,.030,.293,7.6,26.0,17.0,19.3,1.9,3.0,11.8,24.7,99.9,91.5,191.4,.182,3.5,2.1,5.6,96.9,
Dean Garrett,,359,210,6969,13.3,.513,.000,.288,9.8,20.7,15.1,4.7,1.3,4.0,10.7,12.3,6.9,7.2,14.1,.097,-1.4,0.0,-1.4,1.1,
Dick Garrett,,339,,8729,10.8,.470,,.206,4.9,7.8,5.6,13.5,1.4,0.2,,,1.5,4.5,6.0,.033,-5.3,-0.4,-5.8,-0.4,
Rowland Garrett,,263,0,2905,13.4,.479,,.217,7.3,13.8,10.8,5.7,1.3,0.8,,,1.9,3.5,5.4,.089,-1.3,-0.7,-2.0,0.0,
Pat Garrity,,552,107,11062,10.7,.532,.448,.150,3.5,11.5,7.5,6.4,1.1,0.7,9.9,16.8,11.1,7.6,18.7,.081,-0.9,-0.9,-1.8,0.5,
Marc Gasol,,891,866,28719,18.0,.557,.124,.376,5.7,21.2,13.3,17.1,1.4,3.7,13.5,20.5,42.9,42.4,85.3,.143,1.3,1.8,3.1,36.5,
Pau Gasol,,1226,1150,41001,21.4,.565,.031,.401,8.6,22.2,15.5,16.7,0.8,3.5,12.5,23.3,89.9,54.1,144.1,.169,2.8,0.8,3.6,57.5,
