name,pos,games,games_started,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,awards
Andrei Kirilenko,,797,546,23916,18.7,.571,.179,.554,7.1,14.9,11.0,14.7,2.4,5.0,15.5,18.6,40.7,34.7,75.4,.151,2.6,2.3,4.9,41.7,
Greg Kite,,680,225,10080,6.5,.454,.004,.357,10.0,18.7,14.3,4.4,0.8,2.4,22.3,10.0,-5.0,10.6,5.6,.027,-4.9,0.3,-4.6,-6.7,
Kerry Kittles,,507,455,16929,16.0,.523,.290,.185,3.3,10.1,6.6,13.2,2.5,1.0,8.3,19.6,26.4,18.5,44.8,.127,1.4,0.8,2.2,18.0,
Maxi Kleber,,440,151,9827,11.3,.578,.616,.193,5.3,16.2,10.7,7.0,0.9,3.4,10.9,12.2,10.0,10.1,20.1,.098,-1.2,0.6,-0.5,3.6,
Joe Kleine,,965,204,14712,10.5,.499,.011,.254,9.7,20.4,15.1,5.8,0.9,1.2,14.3,15.5,5.5,13.7,19.1,.062,-3.0,-0.9,-3.9,-7.0,
Linas Kleiza,,409,65,8185,12.4,.543,.396,.287,5.5,15.0,10.3,6.2,1.0,0.7,11.1,20.0,7.4,6.3,13.6,.080,-1.0,-1.3,-2.3,-0.7,
Billy Knight,,821,421,23746,18.2,.566,.015,.342,7.2,11.7,9.4,11.7,1.6,0.3,14.7,23.1,47.0,16.9,63.9,.129,2.3,-1.1,1.2,19.0,
Brandon Knight,,451,349,13202,13.7,.518,.369,.240,2.0,10.1,6.0,22.9,1.5,0.5,15.2,24.2,5.6,6.0,11.6,.042,0.1,-1.7,-1.6,1.4,
Brevin Knight,,729,423,18176,14.9,.476,.024,.333,1.8,9.8,5.7,40.1,3.5,0.4,19.6,17.3,11.1,21.5,32.6,.086,-1.1,1.4,0.3,10.5,
Negele Knight,,276,77,4513,11.3,.488,.062,.296,2.9,5.7,4.4,24.7,1.4,0.4,17.0,19.9,1.4,2.8,4.2,.044,-1.7,-1.3,-3.0,-1.1,
Toby Knight,,283,0,7331,15.1,.544,.001,.191,8.1,13.1,10.6,6.3,1.5,1.4,11.7,20.1,10.3,5.4,15.7,.103,0.0,-0.9,-0.9,2.1,
Travis Knight,,371,58,4566,11.4,.480,.049,.262,10.9,18.6,14.7,7.7,1.6,3.7,15.5,15.4,1.5,6.4,7.9,.083,-3.5,0.5,-3.0,-1.1,
Kevin Knox,,320,77,5606,9.4,.505,.477,.219,3.2,14.1,8.6,6.2,1.0,1.3,10.1,19.6,-2.3,3.2,0.9,.008,-2.8,-1.6,-4.4,-3.4,
Bart Kofoed,,111,0,702,5.8,.448,.107,.467,2.6,6.3,4.5,20.1,1.3,0.4,23.6,14.1,-0.6,0.6,0.0,.002,-4.7,-0.4,-5.1,-0.6,
Don Kojis,,814,,19241,14.9,.492,,.322,6.3,12.7,9.0,8.3,1.7,0.4,,,18.5,17.2,35.8,.089,0.7,-0.9,-0.2,1.1,
Howard Komives,,742,,20213,10.7,.444,,.253,1.3,4.2,3.7,19.3,1.7,0.2,,,-3.7,8.8,5.0,.012,-3.7,-0.3,-4.0,-0.4,
Jon Koncak,,784,379,16409,9.8,.499,.027,.334,7.1,19.1,13.0,6.3,1.6,3.0,15.0,10.6,6.1,23.0,29.2,.085,-3.1,1.9,-1.2,3.3,
John Konchar,,307,57,5273,12.5,.578,.522,.142,6.2,18.6,12.3,10.5,2.2,2.2,12.0,10.1,6.0,7.8,13.8,.126,-1.1,1.9,0.9,3.9,
Furkan Korkmaz,,328,49,5447,11.2,.539,.594,.194,1.7,11.2,6.5,10.2,1.6,0.7,9.3,18.3,2.2,5.5,7.6,.067,-1.4,-0.6,-2.0,0.1,
Luke Kornet,,353,58,5268,16.9,.613,.335,.209,10.0,15.2,12.6,10.2,1.1,5.0,8.2,13.5,12.3,7.1,19.4,.177,0.7,1.1,1.9,5.1,
Kyle Korver,,1232,423,31183,12.8,.602,.616,.159,1.3,11.9,6.7,10.4,1.3,1.0,11.5,16.2,42.9,30.5,73.4,.113,0.5,0.1,0.6,20.7,
Kosta Koufos,,686,228,11271,15.4,.545,.001,.217,12.1,22.7,17.4,4.9,1.3,3.7,11.8,16.0,13.5,14.7,28.3,.120,-1.3,0.0,-1.3,2.0,
Barry Kramer,,59,,563,9.3,.414,.005,.424,,,11.1,10.7,,,24.2,30.6,-0.4,0.5,0.1,.007,,,,,
Joel Kramer,,328,4,4184,10.8,.532,.003,.392,9.1,15.0,12.1,10.2,1.5,0.8,18.3,13.6,3.3,5.8,9.1,.105,-1.8,0.6,-1.3,0.8,
Jim Krebs,,515,,10661,11.5,.447,,.233,,,,,,,,,2.8,9.6,12.4,.056,,,,,
