name,pos,games,games_started,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,tpl_dbl,awards
Carlos Arroyo,,569,191,10651,1431,3269,.438,137,405,.338,1294,2864,.452,.459,771,956,.806,210,755,965,1761,290,26,680,874,3770,0,
Darrell Arthur,,503,106,8945,1381,3110,.444,161,458,.352,1220,2652,.460,.470,359,469,.765,547,1221,1768,409,309,307,422,1234,3282,0,
Ömer Aşık,,471,262,9216,947,1795,.528,0,1,.000,947,1794,.528,.528,585,1062,.551,1036,2326,3362,280,167,339,542,928,2479,0,
Vincent Askew,,467,27,9361,1215,2534,.479,76,253,.300,1139,2281,.499,.494,805,1068,.754,400,776,1176,1017,304,106,503,972,3311,0,
Keith Askins,,486,80,7983,677,1688,.401,275,774,.355,402,914,.440,.483,223,311,.717,525,903,1428,375,278,170,321,1094,1852,0,
Chucky Atkins,,696,325,17304,2479,6022,.412,934,2565,.364,1545,3457,.447,.489,971,1258,.772,194,992,1186,2396,465,36,1018,1284,6863,0,
Al Attles,,711,,17826,2499,5545,.451,,,,,,,,1330,2106,.632,,,2463,2483,,,,2417,6328,1,
Stacey Augmon,,1001,472,21658,3037,6480,.469,12,79,.152,3025,6401,.473,.470,1904,2616,.728,1304,1912,3216,1561,974,317,1248,1750,7990,0,
D.J. Augustin,,976,334,22851,2994,7270,.412,1262,3311,.381,1732,3959,.437,.499,2009,2317,.867,292,1513,1805,3761,567,32,1428,1350,9259,0,
Isaac Austin,,432,166,8350,1295,2901,.446,9,51,.176,1286,2850,.451,.448,686,1024,.670,617,1413,2030,538,214,226,701,967,3285,0,
Deni Avdija,,359,209,9679,1441,3117,.462,417,1236,.337,1024,1881,.544,.529,746,991,.753,342,1894,2236,1008,287,159,599,895,4045,2,
Anthony Avent,,352,156,6729,814,2019,.403,0,2,.000,814,2017,.404,.403,330,481,.686,560,1024,1584,278,166,211,416,824,1958,0,
Bird Averitt,,366,,8163,1743,4303,.405,56,225,.249,1687,4078,.414,.412,892,1200,.743,187,493,680,1078,325,55,733,836,4434,0,
Dennis Awtrey,,733,50,14159,1382,3009,.459,0,0,,1382,3009,.459,.459,752,1154,.652,703,1514,3342,1467,186,182,245,1702,3516,0,
Jeff Ayres,,237,15,2322,287,519,.553,2,5,.400,285,514,.554,.555,114,147,.776,196,436,632,99,37,66,132,360,690,0,
Deandre Ayton,,398,391,12272,2905,4926,.590,28,122,.230,2877,4804,.599,.593,704,932,.755,1219,2948,4167,649,292,380,688,1051,6542,0,
Kelenna Azubuike,,208,84,5025,802,1748,.459,210,514,.409,592,1234,.480,.519,364,473,.770,257,572,829,230,130,103,203,408,2178,0,
Luke Babbitt,,381,107,5332,650,1593,.408,394,979,.402,256,614,.417,.532,124,166,.747,111,735,846,224,89,58,165,520,1818,0,
Jim Baechtold,,321,,8256,1117,2876,.388,,,,,,,,889,1135,.783,,,1009,685,,,,795,3123,0,
John Bagley,,665,401,17120,2359,5398,.437,114,473,.241,2245,4925,.456,.448,970,1245,.779,413,1316,1729,3980,755,54,1512,1090,5802,3,
Marvin Bagley III,,289,129,6467,1402,2705,.518,125,431,.290,1277,2274,.562,.541,550,797,.690,664,1225,1889,253,130,181,331,536,3479,0,
Gus Bailey,,147,,1346,156,384,.406,1,1,1.000,155,383,.405,.408,76,149,.510,95,149,244,168,56,43,45,150,389,0,
James Bailey,,595,105,11625,2045,4228,.484,1,13,.077,2044,4215,.485,.484,1155,1644,.703,1010,1978,2988,488,305,521,1057,1978,5246,0,
Thurl Bailey,,928,229,24873,4753,10056,.473,4,35,.114,4749,10021,.474,.473,2324,2863,.812,1304,3414,4718,1298,435,1086,1444,1843,11834,0,
Vin Baker,,791,604,25737,4692,9675,.485,39,181,.215,4653,9494,.490,.487,2416,3787,.638,2263,3604,5867,1509,582,798,1756,2560,11839,1,
Renaldo Balkman,,221,12,3064,368,721,.510,11,64,.172,357,657,.543,.518,147,271,.542,278,491,769,132,164,104,134,421,894,0,
LaMelo Ball,,231,211,7375,1716,4073,.421,705,1934,.365,1011,2139,.473,.508,722,863,.837,289,1090,1379,1710,340,76,769,727,4859,10,
Lonzo Ball,,287,253,8964,1206,3033,.398,662,1828,.362,544,1205,.451,.507,188,314,.599,287,1278,1565,1678,438,179,678,602,3262,8,
Greg Ballard,,802,337,22073,4220,8942,.472,93,275,.338,4127,8667,.476,.477,1420,1805,.787,1434,3424,4858,1733,877,256,1059,1807,9953,0,
Mo Bamba,,364,101,6115,953,1998,.477,291,818,.356,662,1180,.561,.550,264,387,.682,555,1425,1980,306,132,460,287,749,2461,0,
Desmond Bane,,313,261,9274,2045,4333,.472,812,1979,.410,1233,2354,.524,.566,678,768,.883,218,1220,1438,1179,312,117,577,755,5580,1,
Gene Banks,,468,264,13074,2134,3961,.539,2,46,.043,2132,3915,.545,.539,1035,1418,.730,1009,1709,2718,1335,436,101,835,1289,5305,1,
Marcus Banks,,348,37,5571,741,1715,.432,125,382,.327,616,1333,.462,.469,454,591,.768,100,419,519,728,266,57,436,674,2061,0,
Ken Bannister,,253,71,3867,586,1202,.488,0,4,.000,586,1198,.489,.488,329,669,.492,276,617,893,111,109,80,347,669,1501,0,
Mike Bantom,,706,340,19725,3446,7362,.468,3,15,.200,3443,7347,.469,.468,1673,2418,.692,1632,2885,4517,1623,630,478,946,2489,8568,1,
Leandro Barbosa,,850,112,18386,3403,7409,.459,988,2556,.387,2415,4853,.498,.526,1241,1511,.821,319,1401,1720,1775,693,121,1061,1651,9035,0,
Steve Bardo,,33,0,299,28,85,.329,1,10,.100,27,75,.360,.335,16,23,.696,13,47,60,44,12,4,22,45,73,0,
J.J. Barea,,831,108,16287,2832,6685,.424,819,2330,.352,2013,4355,.462,.485,932,1174,.794,253,1495,1748,3270,331,24,1264,1168,7415,1,
Andrea Bargnani,,550,377,15806,2932,6676,.439,627,1771,.354,2305,4905,.470,.486,1382,1677,.824,530,2011,2541,653,207,470,851,1338,7873,0,
Charles Barkley,,1073,1012,39330,8435,15605,.541,538,2020,.266,7897,13585,.581,.558,6349,8643,.735,4260,8286,12546,4215,1648,888,3376,3287,23757,20,
Harrison Barnes,,993,932,31036,4868,10586,.460,1439,3742,.385,3429,6844,.501,.528,2632,3250,.810,1014,3728,4742,1739,672,178,1124,1462,13807,0,
Jim Barnes,,454,,9455,1548,3607,.429,,,,,,,,901,1317,.684,,,2939,377,,,,1497,3997,0,
Marvin Barnes,,315,,9281,2096,4360,.481,3,14,.214,2093,4346,.482,.481,839,1215,.691,977,1896,2873,651,365,438,759,1177,5034,0,
Matt Barnes,,929,359,21967,2788,6388,.436,982,2931,.335,1806,3457,.522,.513,1031,1384,.745,1066,3215,4281,1691,714,444,1172,2353,7589,1,
Dick Barnett,,971,,28937,6034,13227,.456,,,,,,,,3290,4324,.761,1,3,2812,2729,1,0,,2514,15358,0,
Jim Barnett,,732,0,17410,3326,7642,.435,,,,,,,,1884,2363,.797,191,312,2259,2232,131,30,,1573,8536,2,
John Barnhill,,589,2,13925,2024,4990,.406,107,454,.236,1917,4536,.423,.416,930,1413,.658,115,193,1501,1693,,,248,1069,5085,0,
Leo Barnhorst,,344,,7279,1356,3689,.368,,,,,,,,520,782,.665,,,1506,1116,,,,1033,3232,0,
Mike Barr,,307,,6341,753,1571,.479,9,27,.333,744,1544,.482,.482,289,384,.753,180,452,632,861,210,43,428,589,1804,0,
RJ Barrett,,387,386,12814,2652,6019,.441,643,1856,.346,2009,4163,.483,.494,1346,1930,.697,358,1792,2150,1276,259,107,869,897,7293,2,
Earl Barron,,140,31,1985,255,687,.371,3,18,.167,252,669,.377,.373,127,181,.702,188,304,492,63,46,30,107,270,640,0,
Dana Barros,,850,264,19480,3281,7140,.460,1090,2652,.411,2191,4488,.488,.536,1249,1456,.858,232,1377,1609,2837,740,46,1213,1074,8901,1,
Brent Barry,,912,449,23643,2896,6301,.460,1395,3442,.405,1501,2859,.525,.570,1301,1581,.823,450,2330,2780,2892,955,253,1289,1754,8488,0,
Jon Barry,,821,36,13880,1595,3672,.434,657,1676,.392,938,1996,.470,.524,868,1023,.848,318,1195,1513,1784,722,111,808,1016,4715,0,
Rick Barry,,1020,82,38153,9695,21283,.456,176,593,.297,9519,20690,.460,.460,5713,6397,.893,982,3589,6863,4952,1104,269,1364,3028,25279,6,
Will Barton,,679,286,17116,2824,6561,.430,893,2516,.355,1931,4045,.477,.498,1084,1377,.787,471,2321,2792,1817,504,272,948,1050,7625,0,
Brandon Bass,,758,283,16410,2558,5125,.499,12,58,.207,2546,5067,.502,.500,1447,1740,.832,1139,2309,3448,608,295,479,718,1375,6575,0,
