name,pos,games,games_started,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,tpl_dbl,awards
Chris Kaman,,735,538,19642,3432,7023,.489,1,24,.042,3431,6999,.490,.489,1343,1808,.743,1487,4095,5582,921,322,931,1544,1968,8208,0,
Frank Kaminsky,,413,49,8160,1306,3034,.430,428,1226,.349,878,1808,.486,.501,590,791,.746,300,1279,1579,651,174,146,314,609,3630,0,
Jason Kapono,,509,87,9068,1336,3026,.442,457,1054,.434,879,1972,.446,.517,269,322,.835,165,679,844,417,180,25,327,777,3398,0,
George Karl,,264,,4449,674,1449,.465,12,54,.222,662,1395,.475,.469,343,440,.780,105,264,369,795,232,20,362,559,1703,0,
Bob Kauffman,,525,,13568,2306,4835,.477,,,,,,,,1437,1919,.749,164,344,3682,1429,56,22,,1374,6049,7,
Adam Keefe,,617,98,10334,1120,2230,.502,1,14,.071,1119,2216,.505,.502,866,1213,.714,999,1557,2556,427,307,173,545,1114,3107,0,
Bill Keller,,556,134,13609,2440,5740,.425,506,1495,.338,1934,4245,.456,.469,1202,1378,.872,515,834,1349,1980,192,11,970,903,6588,0,
Rich Kelley,,814,126,17711,2166,4435,.488,0,10,.000,2166,4425,.489,.488,1867,2384,.783,1872,3806,5678,2092,694,749,1576,2613,6199,2,
Clark Kellogg,,260,241,8514,2008,4041,.497,23,68,.338,1985,3973,.500,.500,879,1161,.757,852,1630,2482,764,381,105,731,858,4918,0,
Arvesta Kelly,,188,0,3895,598,1343,.445,50,198,.253,548,1145,.479,.464,260,408,.637,190,274,497,331,,,337,424,1506,0,
Greg Kelser,,305,40,6032,1097,2255,.486,5,30,.167,1092,2225,.491,.488,762,1110,.686,609,793,1402,411,239,150,658,904,2961,0,
Shawn Kemp,,1051,728,29293,5505,11278,.488,33,119,.277,5472,11159,.490,.490,4304,5805,.741,3026,5808,8834,1704,1185,1279,2766,3826,15347,1,
Tim Kempton,,280,20,3758,458,953,.481,0,3,.000,458,950,.482,.481,343,507,.677,241,554,795,307,121,44,289,603,1259,0,
Luke Kennard,,460,121,10759,1604,3508,.457,903,2062,.438,701,1446,.485,.586,406,461,.881,140,1161,1301,1045,249,56,449,615,4517,0,
Goo Kennedy,,333,,6782,1143,2085,.548,1,1,1.000,1142,2084,.548,.548,452,675,.670,670,1196,1866,299,140,32,371,1055,2739,0,
Larry Kenon,,752,37,24510,5476,11238,.487,2,14,.143,5474,11224,.488,.487,2000,2550,.784,2303,4398,6701,1672,952,247,1800,1723,12954,3,
Billy Kenville,,345,,6778,848,2337,.363,,,,,,,,738,974,.758,,,1206,715,,,,670,2434,0,
Red Kerr,,905,,27784,4909,11751,.418,,,,,,,,2662,3682,.723,,,10092,2004,,,,2287,12480,2,
Steve Kerr,,910,30,16207,2042,4263,.479,726,1599,.454,1316,2664,.494,.564,627,726,.864,186,874,1060,1658,476,46,504,847,5437,0,
Jerome Kersey,,1153,571,28115,4723,10166,.465,58,288,.201,4665,9878,.472,.467,2321,3364,.690,2330,4009,6339,2134,1439,799,1583,3455,11825,1,
Julius Keye,,418,,13676,1264,3027,.418,4,22,.182,1260,3005,.419,.418,629,1009,.623,1389,3213,4602,657,102,380,682,1407,3161,0,
Randolph Keys,,241,19,3318,522,1229,.425,40,147,.272,482,1082,.445,.441,178,247,.721,210,341,551,192,135,45,175,523,1262,0,
Jason Kidd,,1391,1350,50111,6219,15557,.400,1988,5701,.349,4231,9856,.429,.464,3103,3954,.785,1768,6957,8725,12091,2684,450,4003,2572,17529,107,
Michael Kidd-Gilchrist,,446,356,10978,1462,3085,.474,28,103,.272,1434,2982,.481,.478,798,1116,.715,703,1717,2420,515,296,304,400,956,3750,0,
Toby Kimball,,571,1,10439,1383,3251,.425,,,,,,,,704,1229,.573,193,385,3870,571,51,23,,1280,3470,0,
Albert King,,534,326,12836,2709,5875,.461,56,209,.268,2653,5666,.468,.466,996,1259,.791,760,1502,2262,1171,452,196,1151,1612,6470,0,
Bernard King,,874,547,29417,7830,15109,.518,23,134,.172,7807,14975,.521,.519,3972,5444,.730,1704,3356,5060,2863,866,230,2791,2885,19655,2,
Chris King,,103,66,2058,271,640,.423,46,120,.383,225,520,.433,.459,105,166,.633,108,203,311,116,74,34,119,183,693,0,
George King,,411,,13408,1517,3971,.382,,,,,,,,1185,1847,.642,,,1606,1958,,,,1044,4219,0,
Jim King,,607,,11187,1700,4067,.418,,,,,,,,977,1249,.782,,,1500,1412,,,,1218,4377,0,
Reggie King,,438,128,11345,1512,2940,.514,0,3,.000,1512,2937,.515,.514,874,1251,.699,850,1857,2707,691,365,147,653,1005,3898,0,
Stacey King,,438,63,7406,1071,2240,.478,4,17,.235,1067,2223,.480,.479,673,952,.707,597,863,1460,387,173,210,527,906,2819,0,
Andrei Kirilenko,,797,546,23916,3146,6637,.474,367,1185,.310,2779,5452,.510,.502,2772,3675,.754,1400,2952,4352,2169,1097,1461,1518,1605,9431,3,
Greg Kite,,680,225,10080,716,1634,.438,1,6,.167,715,1628,.439,.438,284,584,.486,903,1704,2607,345,171,414,543,1589,1717,0,
Kerry Kittles,,507,455,16929,2779,6337,.439,694,1838,.378,2085,4499,.463,.493,913,1171,.780,513,1470,1983,1295,811,221,621,893,7165,0,
Maxi Kleber,,440,151,9827,997,2249,.443,490,1385,.354,507,864,.587,.552,337,434,.776,475,1459,1934,508,179,378,297,905,2821,0,
Joe Kleine,,965,204,14712,1902,4201,.453,13,48,.271,1889,4153,.455,.454,849,1069,.794,1268,2723,3991,622,261,285,777,1988,4666,0,
Linas Kleiza,,409,65,8185,1268,2912,.435,387,1154,.335,881,1758,.501,.502,638,836,.763,388,1082,1470,321,159,73,409,886,3561,0,
Billy Knight,,821,421,23746,5418,10680,.507,44,155,.284,5374,10525,.511,.509,3021,3652,.827,1736,2641,4377,1862,834,143,1791,1604,13901,0,
Brandon Knight,,451,349,13202,2260,5499,.411,715,2029,.352,1545,3470,.445,.476,1066,1321,.807,236,1149,1385,1777,386,75,1090,889,6301,1,
Brevin Knight,,729,423,18176,2019,4897,.412,16,119,.134,2003,4778,.419,.414,1288,1632,.789,282,1503,1785,4481,1229,87,1367,1856,5342,0,
Negele Knight,,276,77,4513,671,1539,.436,25,95,.263,646,1444,.447,.444,332,455,.730,114,237,351,780,123,30,357,403,1699,0,
Toby Knight,,283,0,7331,1602,3087,.519,0,2,.000,1602,3085,.519,.519,436,589,.740,556,888,1444,335,242,185,444,896,3640,0,
Travis Knight,,371,58,4566,522,1192,.438,15,58,.259,507,1134,.447,.444,217,312,.696,441,719,1160,224,136,220,244,805,1276,0,
Kevin Knox,,320,77,5606,825,2097,.393,340,1001,.340,485,1096,.443,.474,332,459,.723,172,721,893,233,121,83,259,488,2322,0,
Bart Kofoed,,111,0,702,58,150,.387,3,16,.188,55,134,.410,.397,43,70,.614,16,40,56,108,19,4,56,95,162,0,
Don Kojis,,814,,19241,3947,8853,.446,,,,,,,,2054,2853,.720,140,282,4555,1112,89,16,,1937,9948,0,
Howard Komives,,742,,20213,2972,7652,.388,,,,,,,,1606,1936,.830,10,33,1804,2941,32,3,,2046,7550,0,
Jon Koncak,,784,379,16409,1444,3073,.470,19,84,.226,1425,2989,.477,.473,613,1027,.597,1064,2792,3856,785,542,791,624,2474,3520,0,
John Konchar,,307,57,5273,495,1056,.469,199,551,.361,296,505,.586,.563,109,150,.727,313,909,1222,430,240,124,153,357,1298,1,
Furkan Korkmaz,,328,49,5447,778,1917,.406,405,1138,.356,373,779,.479,.511,283,372,.761,85,561,646,391,178,43,214,329,2244,0,
Luke Kornet,,353,58,5268,737,1376,.536,148,461,.321,589,915,.644,.589,221,287,.770,482,743,1225,382,121,297,135,429,1843,0,
Kyle Korver,,1232,423,31183,4103,9277,.442,2450,5715,.429,1653,3562,.464,.574,1297,1479,.877,345,3298,3643,2114,804,403,1290,2522,11953,0,
Kosta Koufos,,686,228,11271,1750,3277,.534,0,4,.000,1750,3273,.535,.534,413,710,.582,1198,2254,3452,359,291,506,479,1398,3913,0,
Barry Kramer,,59,,563,73,217,.336,0,1,.000,73,216,.338,.336,67,92,.728,7,6,113,44,,,11,77,213,0,
Joel Kramer,,328,4,4184,483,1008,.479,0,3,.000,483,1005,.481,.479,291,395,.737,337,579,916,343,140,62,264,585,1257,0,
Jim Krebs,,515,,10661,1696,4188,.405,,,,,,,,736,975,.755,,,3177,429,,,,1539,4128,0,
Nenad Krstić,,419,373,10547,1724,3493,.494,2,14,.143,1722,3479,.495,.494,760,1041,.730,772,1489,2261,346,162,286,497,1251,4210,0,
Larry Krystkowiak,,420,134,9097,1294,2830,.457,5,36,.139,1289,2794,.461,.458,832,1046,.795,643,1408,2051,513,264,62,522,1048,3425,0,
Steve Kuberski,,568,,7897,1254,3005,.417,,,,,,,,606,790,.767,315,519,2146,338,38,28,2,915,3114,0,
Toni Kukoč,,846,259,22212,3633,8127,.447,731,2184,.335,2902,5943,.488,.492,1813,2487,.729,1016,2539,3555,3119,817,290,1544,1465,9810,4,
Kevin Kunnert,,555,0,12104,2022,4251,.476,0,0,,2022,4251,.476,.476,558,818,.682,1393,2638,4031,784,252,616,391,1927,4602,0,
Mitch Kupchak,,510,32,9905,2003,3832,.523,0,5,.000,2003,3827,.523,.523,1196,1698,.704,963,1767,2730,377,164,176,682,1117,5202,0,
Kyle Kuzma,,541,408,16855,3503,7790,.450,1045,3127,.334,2458,4663,.527,.517,1159,1608,.721,549,2864,3413,1446,304,281,1174,1122,9210,2,
Raef LaFrentz,,563,438,14545,2227,4781,.466,478,1315,.363,1749,3466,.505,.516,758,1066,.711,994,2429,3423,606,276,919,511,1863,5690,0,
Tom LaGarde,,312,110,6194,870,1882,.462,0,2,.000,870,1880,.463,.462,636,994,.640,504,1089,1593,456,94,131,534,860,2376,0,
Rusty LaRue,,98,7,1565,187,497,.376,54,170,.318,133,327,.407,.431,58,69,.841,22,104,126,152,62,11,94,147,486,0,
Rudy LaRusso,,736,,24487,4102,9521,.431,,,,,,,,3303,4308,.767,,,6936,1556,,,,2553,11507,0,
Zach LaVine,,654,565,21461,4852,10331,.470,1533,3922,.391,3319,6409,.518,.544,2353,2825,.833,293,2372,2665,2595,571,183,1725,1376,13590,0,
Skal Labissière,,152,43,2607,431,876,.492,31,86,.360,400,790,.506,.510,181,242,.748,225,440,665,153,53,99,151,315,1074,0,
Sam Lacey,,1002,40,31873,4276,9693,.441,3,16,.188,4273,9677,.442,.441,1748,2369,.738,1647,5226,9687,3754,999,1160,978,3473,10303,9,
Wendell Ladner,,300,,7883,1498,3884,.386,112,444,.252,1386,3440,.403,.400,366,514,.712,806,1675,2481,621,212,9,614,1168,3474,0,
Christian Laettner,,868,692,25760,4036,8405,.480,92,353,.261,3944,8052,.490,.486,2957,3604,.820,1621,4185,5806,2224,917,675,1932,2768,11121,0,
Bill Laimbeer,,1068,861,33956,5574,11198,.498,202,619,.326,5372,10579,.508,.507,2440,2916,.837,2819,7581,10400,2184,710,965,1594,3633,13790,0,
Jeremy Lamb,,573,136,11896,2127,4841,.439,601,1755,.342,1526,3086,.494,.501,950,1109,.857,303,1770,2073,904,417,218,466,924,5805,0,
John Lambert,,446,7,5564,725,1694,.428,1,12,.083,724,1682,.430,.428,237,342,.693,561,932,1493,248,153,172,258,863,1688,0,
Jeff Lamp,,291,3,3471,607,1292,.470,12,54,.222,595,1238,.481,.474,269,320,.841,131,306,437,269,105,14,219,400,1495,0,
Carl Landry,,513,93,11524,2086,3898,.535,9,30,.300,2077,3868,.537,.536,1360,1732,.785,994,1539,2533,355,216,203,603,1208,5541,0,
Mark Landsberger,,437,5,7306,1024,2128,.481,0,3,.000,1024,2125,.482,.481,420,805,.522,1041,1640,2681,236,124,70,473,692,2468,0,
Jerome Lane,,218,79,3215,497,1126,.441,1,16,.063,496,1110,.447,.442,159,420,.379,567,691,1258,322,138,39,261,546,1154,0,
Andrew Lang,,737,380,15344,1780,3785,.470,5,20,.250,1775,3765,.471,.471,866,1164,.744,1188,2323,3511,424,332,1099,697,2037,4431,0,
Antonio Lang,,143,1,1395,121,266,.455,0,8,.000,121,258,.469,.455,87,121,.719,80,130,210,50,55,46,89,207,329,0,
Bob Lanier,,959,179,32103,7761,15092,.514,2,13,.154,7759,15079,.515,.514,3724,4858,.767,1843,4853,9698,3007,777,1100,1112,3048,19248,4,
Stu Lantz,,547,,15267,2469,5674,.435,,,,,,,,1844,2266,.814,150,256,1820,1566,121,18,,1320,6782,0,
Shane Larkin,,256,41,4880,545,1290,.422,117,348,.336,428,942,.454,.468,192,247,.777,83,407,490,737,243,24,301,375,1399,0,
Dave Lattin,,263,,4157,741,1554,.477,0,3,.000,741,1551,.478,.477,422,669,.631,304,601,1332,184,,,251,695,1904,0,
Ty Lawson,,551,344,16088,2496,5424,.460,473,1319,.359,2023,4105,.493,.504,1512,1964,.770,351,1155,1506,3316,636,52,1159,898,6977,1,
Jake Layman,,243,49,3099,458,996,.460,131,437,.300,327,559,.585,.526,128,178,.719,102,315,417,127,99,71,122,254,1175,0,
Mo Layton,,267,,4494,773,1725,.448,0,0,,773,1725,.448,.448,299,399,.749,23,93,357,706,51,12,66,533,1845,0,
Caris LeVert,,524,223,14552,2692,6159,.437,779,2257,.345,1913,3902,.490,.500,1111,1509,.736,369,1612,1981,2105,548,198,918,1034,7274,1,
Manny Leaks,,446,63,12607,2141,4868,.440,0,5,.000,2141,4863,.440,.440,1020,1442,.707,1305,2016,3998,471,10,39,521,1169,5302,0,
Allen Leavell,,700,244,16248,2549,5666,.450,141,603,.234,2408,5063,.476,.462,1445,1733,.834,294,870,1164,3339,929,120,1324,1489,6684,0,
Eric Leckner,,449,60,5448,713,1403,.508,0,5,.000,713,1398,.510,.508,409,611,.669,362,1056,1418,211,84,140,386,1014,1835,0,
Clyde Lee,,742,35,19885,2256,5223,.432,,,,,,,,1221,1988,.614,640,1168,7626,788,80,64,,2203,5733,0,
Courtney Lee,,811,518,21938,2961,6567,.451,876,2259,.388,2085,4308,.484,.518,967,1134,.853,364,1763,2127,1353,809,213,762,1339,7765,0,
Damion Lee,,315,58,6187,855,1973,.433,386,1032,.374,469,941,.498,.531,371,421,.881,142,860,1002,421,195,28,248,477,2467,0,
David Lee,,829,505,24293,4587,8566,.535,1,29,.034,4586,8537,.537,.536,2057,2666,.772,2150,5170,7320,1825,625,329,1454,2170,11232,3,
George Lee,,297,,5158,740,1955,.379,,,,,,,,749,1021,.734,,,1235,258,,,,504,2229,0,
Ron Lee,,448,7,9586,1296,3117,.416,42,131,.321,1254,2986,.420,.423,651,924,.705,397,822,1219,1688,869,122,783,1368,3285,0,
Tim Legler,,310,4,5253,762,1705,.447,260,603,.431,502,1102,.456,.523,398,474,.840,128,353,481,402,149,41,194,509,2182,0,
George Lehmann,,376,,9712,1616,3863,.418,409,1121,.365,1207,2742,.440,.471,817,971,.841,151,415,619,1677,13,4,960,859,4458,0,
Alex Len,,690,244,11754,1780,3491,.510,112,348,.322,1668,3143,.531,.526,936,1380,.678,1186,2438,3624,589,248,615,738,1615,4608,0,
Voshon Lenard,,565,321,15349,2444,5892,.415,936,2437,.384,1508,3455,.436,.494,921,1171,.787,347,1262,1609,1180,424,131,748,1212,6745,0,
Kawhi Leonard,,733,704,23283,5352,10736,.499,1187,3027,.392,4165,7709,.540,.554,2842,3306,.860,872,3790,4662,2236,1255,471,1212,1225,14733,2,
Meyers Leonard,,456,95,7272,972,2016,.482,334,856,.390,638,1160,.550,.565,267,329,.812,333,1438,1771,396,85,127,315,981,2545,0,
Slick Leonard,,426,,11632,1574,4510,.349,,,,,,,,1056,1418,.745,,,1217,1427,,,,915,4204,0,
Jim Les,,321,13,4222,372,938,.397,196,495,.396,176,443,.397,.501,270,330,.818,86,310,396,930,169,20,295,421,1210,0,
Ronnie Lester,,250,116,4959,679,1449,.469,5,22,.227,674,1427,.472,.470,453,575,.788,148,325,473,1003,187,32,474,395,1816,0,
Jon Leuer,,377,80,5945,979,2023,.484,125,381,.328,854,1642,.520,.515,312,407,.767,357,1069,1426,301,137,102,259,583,2395,0,
Andrew Levane,,103,,68,197,635,.310,,,,,,,,69,109,.633,,,9,204,,,,158,463,0,
Fat Lever,,752,599,23814,4244,9504,.447,162,523,.310,4082,8981,.455,.455,1783,2312,.771,1442,3081,4523,4696,1666,209,1471,1803,10433,43,
Cliff Levingston,,830,216,16962,2333,4524,.516,5,33,.152,2328,4491,.518,.516,1217,1800,.676,1772,2535,4307,752,534,593,829,2299,5888,0,
Freddie Lewis,,750,232,24924,4302,9965,.432,275,983,.280,4027,8982,.448,.446,3154,3859,.817,1068,1640,2752,2979,430,31,1760,2123,12033,0,
Mike Lewis,,337,3,10118,1613,3237,.498,0,4,.000,1613,3233,.499,.498,855,1164,.735,1480,2542,4022,1000,0,0,883,1249,4081,0,
Quincy Lewis,,159,21,1853,232,584,.397,37,111,.333,195,473,.412,.429,66,93,.710,71,139,210,96,59,36,98,335,567,0,
Rashard Lewis,,1049,842,33541,5644,12479,.452,1787,4625,.386,3857,7854,.491,.524,2504,3111,.805,1418,4015,5433,1765,1115,541,1577,2430,15579,0,
Reggie Lewis,,450,352,14676,3198,6550,.488,27,135,.200,3171,6415,.494,.490,1479,1794,.824,577,1361,1938,1153,569,417,708,1268,7902,0,
Todd Lichti,,237,51,4240,733,1595,.460,19,78,.244,714,1517,.471,.466,385,488,.789,177,328,505,325,179,45,254,417,1870,0,
DeAndre Liggins,,177,24,1907,129,321,.402,43,122,.352,86,199,.432,.469,45,82,.549,47,205,252,122,108,31,86,201,346,0,
Goose Ligon,,434,,14560,2063,4232,.487,3,24,.125,2060,4208,.490,.488,1431,2226,.643,1721,2999,4720,910,9,9,925,1658,5560,0,
Damian Lillard,,900,900,32614,7266,16568,.439,2804,7556,.371,4462,9012,.495,.523,5262,5853,.899,534,3311,3845,6069,874,267,2541,1708,22598,5,
Jeremy Lin,,480,221,12218,1885,4349,.433,449,1313,.342,1436,3036,.473,.485,1348,1666,.809,197,1141,1338,2042,519,175,1085,1060,5567,1,
Alton Lister,,953,582,18965,2514,4907,.512,1,9,.111,2513,4898,.513,.512,1269,2126,.597,1844,4152,5996,914,351,1473,1450,3179,6298,0,
Nassir Little,,237,36,3735,479,1060,.452,172,521,.330,307,539,.570,.533,183,249,.735,162,526,688,170,73,93,123,310,1313,0,
Gene Littles,,450,,11310,1606,3373,.476,25,104,.240,1581,3269,.484,.480,829,1124,.738,578,897,1475,1336,277,21,650,1048,4066,0,
Randy Livingston,,203,19,2684,304,749,.406,34,97,.351,270,652,.414,.429,131,170,.771,74,208,282,415,121,31,223,297,773,0,
Shaun Livingston,,833,191,17188,2149,4419,.486,13,73,.178,2136,4346,.491,.488,920,1159,.794,491,1498,1989,2483,586,311,1034,1498,5231,0,
Earl Lloyd,,560,,14477,1766,4955,.356,,,,,,,,1150,1533,.750,,,3609,810,,,,2098,4682,0,
Lewis Lloyd,,388,260,9406,2172,4144,.524,10,47,.213,2162,4097,.528,.525,776,1006,.771,488,704,1192,1138,365,133,820,833,5130,2,
Scott Lloyd,,372,17,5638,647,1521,.425,2,7,.286,645,1514,.426,.426,398,554,.718,422,692,1114,356,100,73,304,823,1694,0,
John Logan,,258,,,1128,3621,.312,,,,,,,,947,1235,.767,,,134,775,,,,744,3203,0,
Brad Lohaus,,656,116,10378,1542,3507,.440,392,1086,.361,1150,2421,.475,.496,378,516,.733,483,1386,1869,714,307,503,555,1300,3854,0,
Grant Long,,1003,673,28514,3472,7440,.467,83,293,.283,3389,7147,.474,.472,2491,3272,.761,2168,3986,6154,1716,1199,366,1628,2957,9518,0,
John Long,,893,432,22680,5108,10929,.467,101,314,.322,5007,10615,.472,.472,1814,2104,.862,998,1494,2492,1738,912,180,1555,1868,12131,0,
Luc Longley,,567,362,12006,1685,3647,.462,0,5,.000,1685,3642,.463,.462,720,947,.760,872,1922,2794,836,278,549,942,1730,4090,0,
Kevon Looney,,599,262,10309,1258,2189,.575,12,65,.185,1246,2124,.587,.577,449,738,.608,1280,2111,3391,956,304,322,350,1302,2977,0,
Brook Lopez,,1105,1065,33522,6680,13447,.497,1075,3055,.352,5605,10392,.539,.537,3082,3865,.797,2161,4576,6737,1615,633,2060,1751,2868,17517,0,
Robin Lopez,,992,607,20937,3484,6488,.537,57,192,.297,3427,6296,.544,.541,1301,1751,.743,2147,2513,4660,819,219,1045,1063,1858,8326,0,
Jim Loscutoff,,511,,9431,1333,3868,.345,,,,,,,,490,750,.653,,,2848,353,,,,1497,3156,0,
Kevin Loughery,,755,50,22208,4477,10829,.413,,,,,,,,2621,3262,.803,,,2254,2803,,,,2543,11575,0,
Bob Love,,789,,25120,5447,12688,.429,,,,,,,,3001,3728,.805,552,1033,4653,1123,232,56,,2130,13895,0,
Kevin Love,,952,693,27505,5074,11584,.438,1674,4542,.369,3400,7042,.483,.510,3599,4346,.828,2216,7281,9497,2173,577,368,1679,1841,15421,3,
Clyde Lovellette,,704,,19075,4784,10795,.443,,,,,,,,2379,3141,.757,,,6663,1097,,,,2289,11947,0,
Sidney Lowe,,193,40,3422,198,540,.367,4,30,.133,194,510,.380,.370,162,212,.764,81,254,335,749,191,9,191,282,562,0,
Kyle Lowry,,1173,898,36680,5250,12400,.423,2205,5997,.368,3045,6403,.476,.512,3651,4478,.815,892,4069,4961,7099,1499,351,2628,3161,16356,21,
Jerry Lucas,,829,,32131,5709,11441,.499,,,,,,,,2635,3365,.783,62,312,12942,2732,28,24,,2387,14053,10,
John Lucas,,928,430,25556,3905,8696,.449,244,806,.303,3661,7890,.464,.463,1897,2446,.776,490,1661,2151,6454,1273,73,1803,1691,9951,1,
Kalin Lucas,,2,0,12,0,2,.000,0,1,.000,0,1,.000,.000,2,2,1.000,0,3,3,1,1,0,0,2,2,0,
Maurice Lucas,,1021,244,30112,5928,12580,.471,9,63,.143,5919,12517,.473,.472,2992,3911,.765,2698,6608,9306,2498,803,659,2316,3498,14857,1,
John Lucas III,,242,8,2927,454,1185,.383,163,474,.344,291,711,.409,.452,76,99,.768,57,180,237,362,88,2,128,195,1147,0,
Tyronn Lue,,554,173,12564,1765,4039,.437,460,1175,.391,1305,2864,.456,.494,720,868,.829,132,811,943,1727,286,10,659,1057,4710,0,
Ray Lumpp,,300,,2739,895,2444,.366,,,,,,,,672,876,.767,,,391,654,,,,793,2462,0,
Timothé Luwawu-Cabarrot,,328,60,5254,648,1657,.391,320,956,.335,328,701,.468,.488,321,387,.829,124,532,656,293,132,42,232,605,1937,0,
Trey Lyles,,650,131,11971,1772,4018,.441,646,1864,.347,1126,2154,.523,.521,745,1005,.741,584,2242,2826,697,260,229,517,918,4935,0,
George Lynch,,774,420,17683,2086,4677,.446,146,477,.306,1940,4200,.462,.462,791,1213,.652,1508,2394,3902,1121,817,258,890,1675,5109,0,
Don MacLean,,319,111,6679,1320,2902,.455,56,197,.284,1264,2705,.467,.465,794,1038,.765,356,854,1210,404,118,51,398,598,3490,0,
Ed Macauley,,641,,18071,3742,8589,.436,,,,,,,,3750,4929,.761,,,4325,2079,,,,1667,11234,2,
Scott Machado,,10,0,40,7,12,.583,1,2,.500,6,10,.600,.625,3,3,1.000,0,1,1,9,3,0,8,2,18,0,
Sam Mack,,259,105,5028,713,1781,.400,329,879,.374,384,902,.426,.493,256,308,.831,109,424,533,336,164,37,220,459,2011,0,
Shelvin Mack,,456,56,8392,1165,2752,.423,302,916,.330,863,1836,.470,.478,365,499,.731,118,776,894,1421,300,24,560,568,2997,0,
Mark Macon,,251,104,5018,694,1806,.384,34,126,.270,660,1680,.393,.394,263,358,.735,173,294,467,428,349,20,323,587,1685,0,
Kyle Macy,,551,257,14246,2175,4339,.501,192,569,.337,1983,3770,.526,.523,717,821,.873,311,903,1214,2198,631,49,712,1081,5259,0,
Gerald Madkins,,48,0,420,26,71,.366,12,32,.375,14,39,.359,.451,16,21,.762,3,23,26,65,24,1,29,36,80,0,
Mark Madsen,,453,70,5335,381,834,.457,1,16,.063,380,818,.465,.457,212,402,.527,559,598,1157,181,116,102,206,866,975,0,
Corey Maggette,,827,478,23358,4065,8969,.453,463,1431,.324,3602,7538,.478,.479,4605,5599,.822,915,3107,4022,1696,590,139,1874,2338,13198,0,
Jamaal Magloire,,680,314,14621,1763,3675,.480,0,7,.000,1763,3668,.481,.480,1391,2176,.639,1418,2990,4408,386,224,603,998,1792,4917,0,
Ian Mahinmi,,618,133,10353,1201,2254,.533,8,50,.160,1193,2204,.541,.535,799,1305,.612,937,1768,2705,357,357,443,601,1635,3209,0,
John Mahnken,,414,,1352,966,3557,.272,,,,,,,,456,702,.650,,,533,539,,,,1143,2388,0,
Rick Mahorn,,1117,613,25779,3098,6286,.493,5,38,.132,3093,6248,.495,.493,1562,2218,.704,1814,5143,6957,1082,633,1007,1456,3499,7763,0,
Dan Majerle,,955,454,30206,3950,9171,.431,1360,3798,.358,2590,5373,.482,.505,1665,2246,.741,1125,3140,4265,2755,1194,360,1116,1927,10925,0,
Thon Maker,,263,65,3624,425,976,.435,130,397,.327,295,579,.509,.502,236,347,.680,218,508,726,161,96,173,142,460,1216,0,
Jeff Malone,,905,755,29660,7099,14674,.484,86,321,.268,7013,14353,.489,.487,2947,3383,.871,572,1792,2364,2154,577,100,1538,1695,17231,0,
Karl Malone,,1476,1471,54852,13528,26210,.516,85,310,.274,13443,25900,.519,.518,9787,13188,.742,3562,11406,14968,5248,2085,1145,4524,4578,36928,4,
Moses Malone,,1455,948,49444,10277,20750,.495,8,83,.096,10269,20667,.497,.495,9018,11864,.760,7382,10452,17834,1936,1199,1889,4264,3477,29580,0,
Matt Maloney,,295,206,7470,783,1920,.408,399,1073,.372,384,847,.453,.512,212,266,.797,62,438,500,852,240,14,381,376,2177,0,
Terance Mann,,412,169,9101,1280,2549,.502,329,884,.372,951,1665,.571,.567,442,566,.781,402,1049,1451,790,227,91,317,772,3331,0,
Danny Manning,,883,398,24202,5026,9835,.511,41,199,.206,4985,9636,.517,.513,2274,3120,.729,1523,3092,4615,2063,1000,752,1853,2895,12367,1,
Ed Manning,,604,0,10234,1518,3392,.448,1,8,.125,1517,3384,.448,.448,504,660,.764,406,1047,2717,494,137,27,326,1439,3541,0,
Pace Mannion,,216,4,2125,257,623,.413,16,79,.203,241,544,.443,.425,130,196,.663,88,171,259,231,107,21,132,238,660,0,
Pete Maravich,,658,4,24316,6187,14025,.441,10,15,.667,6177,14010,.441,.441,3564,4344,.820,426,1421,2747,3563,587,108,530,1865,15948,7,
Roy Marble,,29,0,194,18,70,.257,0,2,.000,18,68,.265,.257,19,32,.594,18,14,32,12,7,3,17,17,55,0,
Stephon Marbury,,846,816,31891,5769,13324,.433,991,3048,.325,4778,10276,.465,.470,3768,4804,.784,579,1937,2516,6471,1022,121,2547,2014,16297,1,
Šarūnas Marčiulionis,,363,30,8123,1571,3109,.505,127,344,.369,1444,2765,.522,.526,1362,1773,.768,292,527,819,807,459,31,715,971,4631,0,
Jack Marin,,849,,24590,5068,10890,.465,,,,,,,,2405,2852,.843,259,675,4405,1813,155,59,,2416,12541,0,
Shawn Marion,,1163,1062,40097,7289,15056,.484,791,2390,.331,6498,12666,.513,.510,2331,2877,.810,2732,7369,10101,2198,1759,1233,1750,2535,17700,0,
Boban Marjanović,,331,25,2882,700,1211,.578,10,42,.238,690,1169,.590,.582,425,558,.762,402,787,1189,154,60,96,210,344,1835,0,
Lauri Markkanen,,450,424,13958,2824,6207,.455,1142,3075,.371,1682,3132,.537,.547,1410,1626,.867,631,2570,3201,657,314,222,625,842,8200,0,
Sean Marks,,230,11,2275,259,578,.448,5,25,.200,254,553,.459,.452,115,173,.665,158,343,501,50,33,87,116,342,638,0,
